-0.087695+0.000000j +0.000000+0.438476j +0.806174+0.000000j -0.000000-0.387467j 
+0.000000+0.438476j +0.789257+0.000000j +0.000000+0.387467j +0.186226+0.000000j 
+0.806174+0.000000j +0.000000+0.387467j +0.087695+0.000000j -0.000000+0.438476j 
-0.000000-0.387467j +0.186226+0.000000j -0.000000+0.438476j -0.789257+0.000000j 
