A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	167457	19091	49824	20642	167457	49824	19091	20642	53	53	15	25	70	14	26	18	16	46	0	0	0	0
4.00	166655	19065	51993	18984	166655	51993	19065	18984	6	5	0	2	21	1	6	0	1	5	0	0	0	0
8.00	165608	19644	55508	16593	165608	55508	19644	16593	2	6	6	0	24	0	4	0	4	7	0	0	0	0
12.00	166120	19761	57498	14470	166120	57498	19761	14470	9	6	3	1	13	0	5	0	2	5	0	0	0	0
16.00	167479	20014	58123	13313	167479	58123	20014	13313	3	5	3	3	25	0	2	0	3	5	0	0	0	0
20.00	168920	19853	57826	12133	168920	57826	19853	12133	3	3	5	1	19	1	0	0	5	3	0	0	0	0
24.00	170203	20057	57192	12217	170203	57192	20057	12217	6	3	7	0	17	0	1	0	6	3	0	0	0	0
28.00	171944	19635	55264	12326	171944	55264	19635	12326	7	2	1	2	21	0	3	0	2	2	0	0	0	0
32.00	173388	19588	52752	13912	173388	52752	19588	13912	9	4	1	1	20	2	7	0	1	4	0	0	0	0
36.00	175352	19393	48996	16571	175352	48996	19393	16571	6	5	1	1	14	1	7	0	1	5	0	0	0	0
40.00	176529	19317	45427	19498	176529	45427	19317	19498	4	11	4	1	14	2	9	0	4	11	0	0	0	0
44.00	178393	19109	41809	22788	178393	41809	19109	22788	5	8	1	1	18	0	15	0	0	9	0	0	0	0
48.00	179402	18990	36701	27937	179402	36701	18990	27937	7	11	2	0	13	1	10	0	2	11	0	0	0	0
52.00	179150	18705	33576	30889	179150	33576	18705	30889	5	13	2	1	14	0	7	0	2	12	0	0	0	0
56.00	179411	17913	30266	34341	179411	30266	17913	34341	8	10	0	2	12	0	11	0	0	9	0	0	0	0
60.00	179055	17469	25976	39283	179055	25976	17469	39283	6	22	1	1	6	2	13	0	1	21	0	0	0	0
64.00	178202	16767	22568	43618	178202	22568	16767	43618	9	16	1	5	7	1	14	0	0	17	0	0	0	0
68.00	177650	15801	20117	47002	177650	20117	15801	47002	5	22	0	1	7	1	23	0	0	21	0	0	0	0
72.00	176368	15225	17679	51102	176368	17679	15225	51102	9	28	2	1	3	4	24	0	3	26	0	0	0	0
76.00	177575	14097	16410	53252	177575	16410	14097	53252	4	17	0	2	3	3	17	0	0	18	0	0	0	0
80.00	176466	13661	15231	56187	176466	15231	13661	56187	5	16	0	1	8	1	22	0	0	18	0	0	0	0
84.00	175523	12533	14832	58025	175523	14832	12533	58025	6	24	1	3	3	5	22	0	1	23	0	0	0	0
88.00	175805	11522	14910	58723	175805	14910	11522	58723	3	8	1	2	1	0	15	0	1	12	0	0	0	0
92.00	175704	11048	15603	58751	175704	15603	11048	58751	4	21	0	1	6	0	15	0	0	23	0	0	0	0
96.00	176006	10147	17158	57696	176006	17158	10147	57696	2	22	0	2	4	0	18	0	0	18	0	0	0	0
100.00	177506	8761	18015	56108	177506	18015	8761	56108	6	22	0	1	9	1	26	0	0	19	0	0	0	0
104.00	179544	7924	19877	54291	179544	19877	7924	54291	3	22	0	2	7	0	22	0	0	20	0	0	0	0
108.00	180336	7121	21878	51620	180336	21878	7121	51620	1	18	0	1	15	2	11	0	0	19	0	0	0	0
112.00	183852	6163	23059	48226	183852	23059	6163	48226	4	15	1	1	8	1	15	0	1	17	0	0	0	0
116.00	185788	5542	25544	44301	185788	25544	5542	44301	3	18	0	1	10	0	14	0	0	17	0	0	0	0
120.00	187336	5305	27943	40811	187336	27943	5305	40811	1	18	0	1	8	0	14	0	0	17	0	0	0	0
124.00	187410	4874	28720	37997	187410	28720	4874	37997	2	11	0	1	11	0	16	0	0	12	0	0	0	0
128.00	189528	4724	31907	33172	189528	31907	4724	33172	3	15	0	2	12	0	15	0	0	11	0	0	0	0
132.00	189888	4910	34175	30386	189888	34175	4910	30386	2	14	0	2	10	0	16	0	0	16	0	0	0	0
136.00	191590	5193	36087	27751	191590	36087	5193	27751	2	8	1	0	12	0	13	0	1	5	0	0	0	0
140.00	191828	5718	37698	25065	191828	37698	5718	25065	1	9	0	1	16	0	11	0	0	8	0	0	0	0
144.00	190978	6134	40701	22525	190978	40701	6134	22525	6	11	0	3	13	0	9	0	0	11	0	0	0	0
148.00	189140	6912	42916	19349	189140	42916	6912	19349	7	9	0	3	12	0	9	0	0	7	0	0	0	0
152.00	180873	7531	44487	17375	180873	44487	7531	17375	5	7	0	0	18	0	8	0	0	6	0	0	0	0
