A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	97291	88414	25464	15262	97291	25464	88414	15262	80	45	28	31	42	31	20	20	27	40	0	0	0	0
4.00	95823	88551	27006	14805	95823	27006	88551	14805	19	2	3	0	5	2	1	0	3	2	0	0	0	0
8.00	95528	88885	27660	14106	95528	27660	88885	14106	12	1	7	0	1	2	3	0	6	1	0	0	0	0
12.00	96165	88504	28077	13575	96165	28077	88504	13575	17	3	3	0	7	2	5	0	1	4	0	0	0	0
16.00	96686	88746	28284	13439	96686	28284	88746	13439	23	2	6	0	6	2	0	0	5	2	0	0	0	0
20.00	97867	88998	27692	13390	97867	27692	88998	13390	20	5	6	0	3	1	4	0	5	5	0	0	0	0
24.00	98349	90011	26877	13780	98349	26877	90011	13780	22	3	5	0	4	4	6	0	5	4	0	0	0	0
28.00	100246	89745	25605	14221	100246	25605	89745	14221	17	5	3	0	8	6	3	0	4	5	0	0	0	0
32.00	101559	89724	24329	15147	101559	24329	89724	15147	15	4	1	1	5	6	3	0	4	4	0	0	0	0
36.00	102350	89295	21936	17091	102350	21936	89295	17091	25	3	6	0	6	6	1	0	6	2	0	0	0	0
40.00	103231	88905	19659	18543	103231	19659	88905	18543	16	5	7	1	2	2	3	0	5	5	0	0	0	0
44.00	104297	88086	17557	20486	104297	17557	88086	20486	19	7	5	0	3	5	4	0	5	7	0	0	0	0
48.00	106425	87502	14939	22907	106425	14939	87502	22907	23	5	5	0	6	3	4	0	5	6	0	0	0	0
52.00	107050	85727	13228	24950	107050	13228	85727	24950	19	5	0	3	3	5	7	0	0	5	0	0	0	0
56.00	108219	84101	11204	27217	108219	11204	84101	27217	21	8	6	0	2	8	8	0	4	6	0	0	0	0
60.00	108655	82962	9354	29671	108655	9354	82962	29671	25	4	2	0	3	4	4	0	2	4	0	0	0	0
64.00	109980	80363	7785	31610	109980	7785	80363	31610	26	11	3	0	2	6	4	0	3	9	0	0	0	0
68.00	111300	77581	6733	33808	111300	6733	77581	33808	24	4	1	2	1	8	4	0	1	3	0	0	0	0
72.00	113120	74696	5796	35481	113120	5796	74696	35481	16	8	1	2	2	4	9	0	1	7	0	0	0	0
76.00	114935	73001	5061	37183	114935	5061	73001	37183	15	7	0	0	0	6	5	0	0	8	0	0	0	0
80.00	115578	71105	4921	38368	115578	4921	71105	38368	14	10	1	0	0	2	7	0	1	10	0	0	0	0
84.00	117073	67425	4938	39255	117073	4938	67425	39255	13	7	2	1	2	5	11	0	1	7	0	0	0	0
88.00	117782	65448	5712	39185	117782	5712	65448	39185	25	4	1	0	1	6	7	0	1	4	0	0	0	0
92.00	119353	63714	6478	39267	119353	6478	63714	39267	15	8	0	0	1	6	12	0	0	9	0	0	0	0
96.00	121519	62443	7470	38322	121519	7470	62443	38322	10	14	0	0	3	10	7	0	0	16	0	0	0	0
100.00	122471	59343	8750	36720	122471	8750	59343	36720	10	13	1	1	3	4	10	0	1	14	0	0	0	0
104.00	125591	57769	9825	35532	125591	9825	57769	35532	23	15	2	0	2	2	10	0	1	16	0	0	0	0
108.00	127354	56356	11184	33703	127354	11184	56356	33703	13	4	0	1	2	3	9	0	0	4	0	0	0	0
112.00	128969	55440	12399	31160	128969	12399	55440	31160	15	3	2	0	1	1	7	0	2	3	0	0	0	0
116.00	129860	55459	14058	28043	129860	14058	55459	28043	17	11	1	1	3	5	6	0	2	11	0	0	0	0
120.00	131613	55381	15759	25461	131613	15759	55381	25461	18	6	2	0	7	2	2	0	2	6	0	0	0	0
124.00	131062	54768	17104	23214	131062	17104	54768	23214	19	1	1	0	6	2	4	0	1	1	0	0	0	0
128.00	131410	56096	18585	20768	131410	18585	56096	20768	18	8	4	0	3	0	8	0	4	8	0	0	0	0
132.00	130944	57236	19768	18974	130944	19768	57236	18974	12	4	4	0	9	1	5	0	3	5	0	0	0	0
136.00	129823	58945	20512	17089	129823	20512	58945	17089	20	3	1	1	4	1	5	0	1	2	0	0	0	0
140.00	130060	60594	21942	15422	130060	21942	60594	15422	10	4	1	0	11	1	1	0	2	4	0	0	0	0
144.00	127830	63443	22515	14498	127830	22515	63443	14498	15	3	2	0	9	2	6	0	1	3	0	0	0	0
148.00	124635	65013	22690	13402	124635	22690	65013	13402	20	5	2	1	3	1	6	0	2	6	0	0	0	0
152.00	117489	64810	23613	12618	117489	23613	64810	12618	15	1	8	0	6	0	3	0	7	1	0	0	0	0
156.00	117574	70107	23912	12714	117574	23912	70107	12714	19	4	6	0	2	1	5	0	6	4	0	0	0	0
160.00	115592	73731	24292	12930	115592	24292	73731	12930	17	4	2	0	7	2	5	0	1	3	0	0	0	0
164.00	113399	76880	25132	13281	113399	25132	76880	13281	15	5	5	1	6	5	10	0	5	4	0	0	0	0
168.00	109607	80243	25523	13574	109607	25523	80243	13574	18	6	4	0	4	3	7	0	5	5	0	0	0	0
172.00	105625	82303	26064	13622	105625	26064	82303	13622	23	1	6	0	6	2	2	0	6	0	0	0	0	0
176.00	102640	84063	26450	14123	102640	26450	84063	14123	21	4	5	0	2	1	7	0	6	4	0	0	0	0
180.00	101401	86075	27193	14449	101401	27193	86075	14449	18	0	6	0	3	1	4	0	6	0	0	0	0	0
184.00	97798	87184	27427	14767	97798	27427	87184	14767	21	2	3	1	3	2	3	0	3	1	0	0	0	0
188.00	96989	88388	28179	14818	96989	28179	88388	14818	14	3	2	1	8	2	2	0	2	3	0	0	0	0
192.00	96281	88886	28557	14862	96281	28557	88886	14862	12	5	3	0	7	4	5	0	2	4	0	0	0	0
196.00	95344	88389	28877	14424	95344	28877	88389	14424	21	4	10	3	3	2	5	0	8	3	0	0	0	0
200.00	95905	86770	29020	13897	95905	29020	86770	13897	8	1	6	0	8	6	5	0	7	2	0	0	0	0
204.00	98612	85239	29321	13238	98612	29321	85239	13238	18	3	5	2	5	3	2	0	5	2	0	0	0	0
208.00	100798	84553	29598	13091	100798	29598	84553	13091	13	4	2	0	7	3	5	0	1	3	0	0	0	0
212.00	101452	81225	29097	12929	101452	29097	81225	12929	15	1	7	0	8	4	1	0	8	1	0	0	0	0
216.00	105487	79756	28775	12462	105487	28775	79756	12462	17	1	3	0	6	4	2	0	2	1	0	0	0	0
220.00	109022	77425	28230	12833	109022	28230	77425	12833	17	1	9	1	9	3	5	0	9	0	0	0	0	0
