-0.360370+0.000000j +0.000000+0.491414j +0.628739+0.000000j -0.000000-0.483046j 
+0.000000+0.491414j +0.622457+0.000000j +0.000000+0.483046j +0.371114+0.000000j 
+0.628739+0.000000j +0.000000+0.483046j +0.360370+0.000000j -0.000000+0.491414j 
-0.000000-0.483046j +0.371114+0.000000j -0.000000+0.491414j -0.622457+0.000000j 
