+0.715668+0.000000j +0.000000+0.130658j +0.684130+0.000000j +0.000000-0.052100j 
+0.000000+0.130658j +0.990050+0.000000j +0.000000+0.052100j +0.003968+0.000000j 
+0.684130+0.000000j +0.000000+0.052100j -0.715668+0.000000j -0.000000+0.130658j 
+0.000000-0.052100j +0.003968+0.000000j -0.000000+0.130658j -0.990050+0.000000j 
