-0.346914+0.000000j +0.000000+0.476108j +0.652972+0.000000j +0.000000-0.476025j 
+0.000000+0.476108j +0.652912+0.000000j +0.000000+0.476025j +0.347028+0.000000j 
+0.652972+0.000000j +0.000000+0.476025j +0.346914+0.000000j -0.000000+0.476108j 
+0.000000-0.476025j +0.347028+0.000000j -0.000000+0.476108j -0.652912+0.000000j 
