-0.8963+0.0000j +0.0000+0.3557j +0.0741+0.0000j +0.0000-0.2541j 
+0.0000+0.3557j -0.2205+0.0000j +0.0000+0.2541j +0.8719+0.0000j 
+0.0741+0.0000j +0.0000+0.2541j +0.8963+0.0000j -0.0000+0.3557j 
+0.0000-0.2541j +0.8719+0.0000j -0.0000+0.3557j +0.2205+0.0000j 
