# Quantum Classical Visibility
AB 4163 2743 -0.2892
AC 214 290 0.4917
AD 2116 3334 0.4937
BC 1554 1387 0.08917
BD 1.813e+04 1.537e+04 0.06266
CD 614 236 -0.914
