+0.2775+0.0000j +0.6930+0.0000j +0.2922+0.0000j +0.5978+0.0000j 
+0.1505+0.0000j -0.0664-0.4461j +0.1913-0.4400j -0.0864+0.7323j 
+0.5450+0.0000j -0.4475-0.2243j +0.3357+0.5735j +0.1017-0.0203j 
+0.7767+0.0000j +0.0793+0.2438j -0.3770-0.3171j -0.2682-0.1276j 
