
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  56.576  i
 3.63636  52.9562  i
 7.27273  49.335  i
 10.9091  45.7126  i
 14.5455  42.0888  i
 18.1818  38.4636  i
 21.8182  34.8369  i
 25.4545  31.2087  i
 29.0909  27.579  i
 32.7273  23.9477  i
 36.3636  20.3148  i
 40  16.6804  i
 43.6364  13.0443  i
 47.2727  9.40667  i
 50.9091  5.76742  i
 54.5455  2.12657  i
 58.1818 -1.51584  i
 61.8182 -5.15979  i
 65.4545 -8.80526  i
 69.0909 -12.4522  i
 72.7273 -16.1006  i
 76.3636 -19.7504  i
 80 -23.4015  i
 83.6364 -27.0538  i
 87.2727 -30.7074  i
 90.9091 -34.3621  i
 94.5455 -38.0179  i
 98.1818 -41.6747  i
 101.818 -45.3323  i
 105.455 -48.9908  i
 109.091 -52.6501  i
 112.727 -56.3099  i
 116.364 -59.9703  i
 120 -63.6312  i
 123.636 -67.2924  i
 127.273 -70.9538  i
 130.909 -74.6154  i
 134.545 -78.277  i
 138.182 -81.9386  i
 141.818 -85.6  i
 145.455 -89.2612  i
 149.091 -92.922  i
 152.727 -96.5823  i
 156.364 -100.242  i
 160 -103.901  i
 163.636 -107.56  i
 167.273 -111.217  i
 170.909 -114.874  i
 174.545 -118.53  i
 178.182 -122.184  i
 181.818 -125.838  i
 185.455 -129.49  i
 189.091 -133.141  i
 192.727 -136.79  i
 196.364 -140.439  i
 200 -144.085  i
 203.636 -147.731  i
 207.273 -151.374  i
 210.909 -155.017  i
 214.545 -158.657  i
 218.182 -162.296  i
 221.818 -165.934  i
 225.455 -169.57  i
 229.091 -173.204  i
 232.727 -176.837  i
 236.364 -180.468  i
 240 -184.097  i
 243.636 -187.725  i
 247.273 -191.352  i
 250.909 -194.977  i
 254.545 -198.601  i
 258.182 -202.223  i
 261.818 -205.844  i
 265.455 -209.464  i
 269.091 -213.082  i
 272.727 -216.7  i
 276.364 -220.316  i
 280 -223.932  i
 283.636 -227.546  i
 287.273 -231.16  i
 290.909 -234.773  i
 294.545 -238.386  i
 298.182 -241.998  i
 301.818 -245.61  i
 305.455 -249.221  i
 309.091 -252.832  i
 312.727 -256.443  i
 316.364 -260.054  i
 320 -263.666  i
 323.636 -267.277  i
 327.273 -270.889  i
 330.909 -274.501  i
 334.545 -278.114  i
 338.182 -281.727  i
 341.818 -285.341  i
 345.455 -288.956  i
 349.091 -292.571  i
 352.727 -296.188  i
 356.364 -299.805  i
 360 -303.424  i

