A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	23537	96964	95147	46404	23537	95147	96964	46404	4	4	20	7	5	6	3	0	18	2	0	0	0	0
4.00	24414	94735	101645	39474	24414	101645	94735	39474	2	0	20	4	4	11	2	0	20	0	0	0	0	0
8.00	26815	91729	109487	31766	26815	109487	91729	31766	4	0	22	10	8	6	0	0	21	0	0	0	0	0
12.00	29581	88939	116321	24701	29581	116321	88939	24701	7	1	12	9	10	7	0	0	12	1	0	0	0	0
16.00	32986	85611	121585	19087	32986	121585	85611	19087	10	1	27	4	8	3	0	0	25	1	0	0	0	0
20.00	36708	83969	125639	14470	36708	125639	83969	14470	10	2	23	3	12	4	3	0	20	2	0	0	0	0
24.00	39234	82249	128762	11395	39234	128762	82249	11395	6	1	20	4	8	3	1	0	22	1	0	0	0	0
28.00	42991	79967	128900	10370	42991	128900	79967	10370	8	1	33	1	17	4	3	0	33	2	0	0	0	0
32.00	47176	77453	126965	10953	47176	126965	77453	10953	6	1	23	4	13	2	3	0	25	1	0	0	0	0
36.00	49948	75626	123528	13559	49948	123528	75626	13559	7	0	16	5	10	2	1	0	16	0	0	0	0	0
40.00	55598	71453	119798	17674	55598	119798	71453	17674	4	1	16	3	11	4	2	0	15	2	0	0	0	0
44.00	59358	67950	113901	22604	59358	113901	67950	22604	8	7	15	8	12	4	4	0	15	5	0	0	0	0
48.00	63022	64705	106320	29871	63022	106320	64705	29871	11	3	16	5	22	3	3	0	15	2	0	0	0	0
52.00	67600	60060	98752	37003	67600	98752	60060	37003	10	9	20	6	17	5	6	0	19	7	0	0	0	0
56.00	70891	55660	89235	47642	70891	89235	55660	47642	10	7	7	16	11	9	10	0	8	6	0	0	0	0
60.00	73971	50816	83445	54403	73971	83445	50816	54403	10	11	9	6	9	2	7	0	10	11	0	0	0	0
64.00	77818	45542	75323	62032	77818	75323	45542	62032	7	7	7	8	15	3	6	0	6	5	0	0	0	0
68.00	81286	40860	67902	70726	81286	67902	40860	70726	2	8	6	4	7	5	9	0	5	10	0	0	0	0
72.00	85766	34254	62063	77537	85766	62063	34254	77537	4	15	3	7	10	8	18	0	4	14	0	0	0	0
76.00	88824	29873	55905	85004	88824	55905	29873	85004	4	13	3	12	9	5	19	0	2	13	0	0	0	0
80.00	91259	25768	50649	91204	91259	50649	25768	91204	7	24	5	11	7	6	25	0	4	24	0	0	0	0
84.00	93188	21745	46018	97110	93188	46018	21745	97110	5	21	0	9	8	4	28	0	0	21	0	0	0	0
88.00	95401	18743	42690	100192	95401	42690	18743	100192	9	25	1	3	6	1	26	0	0	21	0	0	0	0
92.00	97616	15615	40937	102711	97616	40937	15615	102711	4	24	0	9	7	5	24	0	0	25	0	0	0	0
96.00	98629	13744	39651	104278	98629	39651	13744	104278	3	16	0	6	11	3	22	0	1	16	0	0	0	0
100.00	100885	12567	39295	104152	100885	39295	12567	104152	0	28	0	8	11	1	17	0	1	29	0	0	0	0
104.00	101297	12769	39730	102702	101297	39730	12769	102702	3	29	1	11	10	4	21	0	1	31	0	0	0	0
108.00	101665	14362	40780	99704	101665	40780	14362	99704	3	22	2	8	7	2	25	0	2	21	0	0	0	0
112.00	100384	17151	41939	97316	100384	41939	17151	97316	5	24	1	5	6	4	24	0	1	21	0	0	0	0
116.00	99428	21288	43710	93658	99428	43710	21288	93658	2	22	2	6	16	0	19	0	3	21	0	0	0	0
120.00	97844	25103	47243	89870	97844	47243	25103	89870	4	22	3	7	11	6	17	0	3	20	0	0	0	0
124.00	94219	30657	50676	84218	94219	50676	30657	84218	6	21	1	12	3	6	23	0	1	16	0	0	0	0
128.00	88418	38142	53041	80214	88418	53041	38142	80214	8	22	5	2	13	4	20	0	6	23	0	0	0	0
132.00	84161	44316	57914	74180	84161	57914	44316	74180	3	15	8	9	12	6	14	0	5	16	0	0	0	0
136.00	78572	51259	62581	69105	78572	62581	51259	69105	7	8	1	8	5	6	10	0	2	7	0	0	0	0
140.00	72894	58419	67075	64454	72894	67075	58419	64454	7	12	7	9	5	7	6	0	7	11	0	0	0	0
144.00	65652	66856	70219	60089	65652	70219	66856	60089	10	12	13	10	10	4	7	0	16	11	0	0	0	0
148.00	59400	73297	75093	55052	59400	75093	73297	55052	12	8	3	9	8	6	10	0	3	7	0	0	0	0
152.00	48671	78993	77305	50105	48671	77305	78993	50105	7	6	12	12	7	6	3	0	12	7	0	0	0	0
156.00	42689	87626	81770	47741	42689	81770	87626	47741	7	5	18	5	7	7	7	0	18	5	0	0	0	0
160.00	36442	94285	88070	45190	36442	88070	94285	45190	10	6	15	4	8	7	5	0	12	4	0	0	0	0
164.00	31129	98104	94171	40494	31129	94171	98104	40494	6	2	22	9	6	8	3	0	19	1	0	0	0	0
168.00	25236	102827	97945	37803	25236	97945	102827	37803	10	1	22	9	4	11	0	0	18	1	0	0	0	0
172.00	21640	103793	102118	35209	21640	102118	103793	35209	3	4	24	8	4	5	1	0	23	4	0	0	0	0
176.00	19306	104239	106261	32100	19306	106261	104239	32100	6	1	19	8	3	8	0	0	16	1	0	0	0	0
180.00	18335	103641	110164	29233	18335	110164	103641	29233	4	1	26	6	2	7	2	0	23	0	0	0	0	0
184.00	19602	101523	112953	27169	19602	112953	101523	27169	3	1	16	6	7	5	1	0	17	1	0	0	0	0
188.00	22299	96583	116007	24466	22299	116007	96583	24466	6	0	25	7	5	4	0	0	29	0	0	0	0	0
192.00	26444	91571	119228	21763	26444	119228	91571	21763	6	0	32	9	5	4	1	0	31	0	0	0	0	0
196.00	32507	85469	120384	19563	32507	120384	85469	19563	10	2	24	6	9	5	0	0	23	2	0	0	0	0
200.00	39064	77733	122589	16585	39064	122589	77733	16585	4	0	16	2	9	4	2	0	15	0	0	0	0	0
204.00	48569	69230	123896	15326	48569	123896	69230	15326	10	1	13	7	9	1	3	0	14	1	0	0	0	0
208.00	58098	60802	125064	13438	58098	125064	60802	13438	13	1	13	3	12	4	0	0	13	1	0	0	0	0
212.00	66834	51363	125855	11139	66834	125855	51363	11139	11	0	11	2	14	1	0	0	11	0	0	0	0	0
216.00	74837	45490	126812	10162	74837	126812	45490	10162	6	4	8	2	26	0	3	0	9	3	0	0	0	0
220.00	83499	38352	126528	9435	83499	126528	38352	9435	10	0	9	4	22	1	0	0	9	0	0	0	0	0
224.00	90162	31546	126032	8897	90162	126032	31546	8897	5	0	14	1	29	0	1	0	13	0	0	0	0	0
228.00	97450	25366	125244	9163	97450	125244	25366	9163	5	1	6	0	19	0	0	0	4	1	0	0	0	0
232.00	100666	21210	122677	9815	100666	122677	21210	9815	6	3	5	2	20	0	2	0	4	3	0	0	0	0
236.00	103951	17285	120388	10942	103951	120388	17285	10942	2	2	6	3	21	1	1	0	5	2	0	0	0	0
240.00	105738	15124	119101	13225	105738	119101	15124	13225	1	1	3	5	28	0	2	0	2	2	0	0	0	0
244.00	106257	14594	117765	15816	106257	117765	14594	15816	2	3	3	2	30	1	2	0	3	2	0	0	0	0
248.00	105636	14844	114392	19339	105636	114392	14844	19339	3	3	3	9	21	0	4	0	2	3	0	0	0	0
252.00	102807	16423	112151	23013	102807	112151	16423	23013	3	4	7	6	25	2	1	0	7	3	0	0	0	0
256.00	99511	18496	108123	28016	99511	108123	18496	28016	2	4	4	5	20	0	4	0	3	8	0	0	0	0
260.00	94409	22014	103614	32704	94409	103614	22014	32704	3	8	4	6	33	1	9	0	4	9	0	0	0	0
264.00	89775	25976	99810	37690	89775	99810	25976	37690	4	4	6	7	14	1	5	0	4	4	0	0	0	0
268.00	82788	31513	95650	42644	82788	95650	31513	42644	5	9	8	7	20	5	7	0	6	9	0	0	0	0
272.00	76772	37369	90859	47330	76772	90859	37369	47330	5	5	3	14	17	2	7	0	3	6	0	0	0	0
276.00	71137	44398	85126	52973	71137	85126	44398	52973	8	11	9	9	15	3	13	0	9	9	0	0	0	0
280.00	64580	52376	81184	56771	64580	81184	52376	56771	12	12	3	6	8	4	11	0	3	11	0	0	0	0
284.00	59761	59558	74699	62719	59761	74699	59558	62719	5	7	11	8	9	7	15	0	12	6	0	0	0	0
288.00	54727	65898	67865	67869	54727	67865	65898	67869	7	9	13	6	6	5	11	0	13	9	0	0	0	0
292.00	49332	73515	62478	71596	49332	62478	73515	71596	12	13	11	11	5	6	9	0	9	11	0	0	0	0
296.00	44657	81164	57054	76317	44657	57054	81164	76317	7	13	8	7	5	20	8	0	6	12	0	0	0	0
300.00	40495	87713	51974	80875	40495	51974	87713	80875	11	8	5	13	4	13	4	0	5	9	0	0	0	0
304.00	37405	93150	46593	84774	37405	46593	93150	84774	8	12	8	6	1	12	7	0	9	10	0	0	0	0
308.00	33543	98907	42971	86794	33543	42971	98907	86794	7	5	7	9	1	11	6	0	7	4	0	0	0	0
312.00	28558	99308	36719	86190	28558	36719	99308	86190	9	5	6	6	0	18	5	0	7	7	0	0	0	0
316.00	26948	105272	35480	88577	26948	35480	105272	88577	3	3	7	7	1	21	2	0	8	4	0	0	0	0
320.00	26802	110338	35783	91881	26802	35783	110338	91881	7	6	7	5	3	12	6	0	8	7	0	0	0	0
324.00	25173	111937	36221	92650	25173	36221	111937	92650	7	3	6	7	4	18	2	0	6	3	0	0	0	0
