-0.631878+0.000000j +0.000000+0.500597j +0.350552+0.000000j +0.000000-0.476704j 
+0.000000+0.500597j +0.319256+0.000000j +0.000000+0.476704j +0.648253+0.000000j 
+0.350552+0.000000j +0.000000+0.476704j +0.631878+0.000000j -0.000000+0.500597j 
+0.000000-0.476704j +0.648253+0.000000j -0.000000+0.500597j -0.319256+0.000000j 
