+0.1727+0.0000j +0.5632+0.0000j +0.2892-0.0000j +0.7546+0.0000j 
+0.4575+0.0000j +0.1509+0.6326j -0.1948-0.4745j -0.1427-0.2903j 
+0.2912+0.0000j +0.1103+0.1549j +0.4548+0.6577j -0.3233-0.3676j 
+0.8222+0.0000j -0.2413-0.4068j -0.1135+0.0311j +0.0354+0.2917j 
