+0.722152+0.000000j +0.000000+0.133732j +0.676648+0.000000j -0.000000-0.052544j 
+0.000000+0.133732j +0.989615+0.000000j +0.000000+0.052544j +0.004080+0.000000j 
+0.676648+0.000000j +0.000000+0.052544j -0.722152+0.000000j -0.000000+0.133732j 
-0.000000-0.052544j +0.004080+0.000000j -0.000000+0.133732j -0.989615+0.000000j 
