-0.344488+0.000000j +0.000000+0.475786j +0.654956+0.000000j +0.000000-0.475382j 
+0.000000+0.475786j +0.654663+0.000000j +0.000000+0.475382j +0.345044+0.000000j 
+0.654956+0.000000j +0.000000+0.475382j +0.344488+0.000000j -0.000000+0.475786j 
+0.000000-0.475382j +0.345044+0.000000j -0.000000+0.475786j -0.654663+0.000000j 
