-0.9640+0.0000j +0.0000+0.2340j +0.0193+0.0000j +0.0000-0.1251j 
+0.0000+0.2340j -0.5195+0.0000j +0.0000+0.1251j +0.8123+0.0000j 
+0.0193+0.0000j +0.0000+0.1251j +0.9640+0.0000j -0.0000+0.2340j 
+0.0000-0.1251j +0.8123+0.0000j -0.0000+0.2340j +0.5195+0.0000j 
