+0.3881+0.0000j +0.4746+0.0000j +0.6985-0.0000j +0.3692+0.0000j 
+0.6498+0.0000j -0.0855-0.5936j -0.2395+0.3800j -0.1200+0.0441j 
+0.6313-0.0000j -0.1525+0.5918j -0.0851-0.3222j -0.3066-0.1512j 
+0.1692-0.0000j -0.1910+0.0714j -0.3650-0.2572j +0.7581+0.3947j 
