-0.2563-0.0054j +0.6153-0.0461j -0.3635-0.1530j +0.6275+0.0647j 
+0.7939+0.1313j +0.5197+0.0302j +0.2178+0.1817j -0.0146+0.0296j 
+0.0174+0.4147j +0.1326-0.2823j +0.0659-0.7983j -0.2891-0.0720j 
+0.1133-0.3189j +0.1051+0.4898j -0.2723-0.2196j -0.1630-0.6968j 
