A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	15150	86878	109193	15192	15150	109193	86878	15192	39	7	40	41	35	39	6	94	72	13	0	0	0	0
4.00	15412	85063	112149	12369	15412	112149	85063	12369	1	0	17	2	3	0	1	0	17	0	0	0	0	0
8.00	16409	83007	115678	9020	16409	115678	83007	9020	5	0	19	2	7	0	0	0	19	0	0	0	0	0
12.00	18629	81668	118093	6578	18629	118093	81668	6578	3	0	24	3	8	4	0	0	22	0	0	0	0	0
16.00	20235	80109	120303	4306	20235	120303	80109	4306	5	0	25	1	8	0	0	0	23	0	0	0	0	0
20.00	22564	78742	120593	3038	22564	120593	78742	3038	0	0	20	0	4	0	0	0	20	0	0	0	0	0
24.00	24510	78444	121114	2860	24510	121114	78444	2860	2	0	18	0	6	0	0	0	16	0	0	0	0	0
28.00	27497	77275	119977	3565	27497	119977	77275	3565	4	0	25	3	6	1	0	0	25	0	0	0	0	0
32.00	31368	73782	117111	4674	31368	117111	73782	4674	8	2	29	0	12	0	0	0	27	1	0	0	0	0
36.00	34899	71097	115054	7020	34899	115054	71097	7020	6	1	17	2	12	1	0	0	15	1	0	0	0	0
40.00	38641	67886	110769	9870	38641	110769	67886	9870	2	0	13	2	7	2	0	0	12	1	0	0	0	0
44.00	41837	65692	106991	13724	41837	106991	65692	13724	6	0	15	2	7	4	0	0	15	1	0	0	0	0
48.00	45801	61380	103182	17476	45801	103182	61380	17476	5	1	11	9	14	4	1	0	11	1	0	0	0	0
52.00	49751	57482	99324	21745	49751	99324	57482	21745	7	2	10	2	18	4	1	0	10	2	0	0	0	0
56.00	53084	54070	94442	26377	53084	94442	54070	26377	8	1	13	6	14	3	3	0	12	1	0	0	0	0
60.00	57125	47913	91502	30254	57125	91502	47913	30254	1	4	10	6	12	7	3	0	10	5	0	0	0	0
64.00	59627	44100	87379	34999	59627	87379	44100	34999	6	9	16	4	13	0	4	0	17	7	0	0	0	0
68.00	63102	40036	84094	38962	63102	84094	40036	38962	9	6	6	8	10	2	5	0	7	5	0	0	0	0
72.00	67232	34440	82018	42695	67232	82018	34440	42695	6	3	5	11	16	1	5	0	5	3	0	0	0	0
76.00	70932	29612	79872	45917	70932	79872	29612	45917	5	6	3	11	8	4	4	0	2	5	0	0	0	0
80.00	73947	25330	78625	48410	73947	78625	25330	48410	1	4	8	7	20	1	7	0	8	5	0	0	0	0
84.00	75125	21935	77041	50966	75125	77041	21935	50966	3	10	2	11	13	7	6	0	2	6	0	0	0	0
88.00	79112	16712	77379	51890	79112	77379	16712	51890	3	6	4	13	13	1	10	0	4	4	0	0	0	0
92.00	82750	12735	76723	52727	82750	76723	12735	52727	1	9	1	2	9	1	10	0	1	9	0	0	0	0
96.00	85619	8512	77509	51956	85619	77509	8512	51956	3	13	1	9	8	2	13	0	1	11	0	0	0	0
100.00	89465	5563	77959	51211	89465	77959	5563	51211	3	10	0	12	9	2	11	0	0	10	0	0	0	0
104.00	91028	3931	79644	50082	91028	79644	3931	50082	0	16	0	7	20	0	8	0	0	17	0	0	0	0
108.00	93538	2813	80774	47763	93538	80774	2813	47763	1	10	0	5	15	0	11	0	0	11	0	0	0	0
112.00	95282	2733	81712	45343	95282	81712	2733	45343	1	12	0	7	10	1	8	0	0	12	0	0	0	0
116.00	95809	3565	82867	43557	95809	82867	3565	43557	1	6	0	3	13	0	6	0	0	7	0	0	0	0
120.00	95353	6513	83865	40885	95353	83865	6513	40885	0	11	0	3	10	0	12	0	0	11	0	0	0	0
124.00	92563	9965	85111	38187	92563	85111	9965	38187	2	6	3	8	18	3	8	0	2	6	0	0	0	0
