
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  57.3539  i
 3.63636  53.754  i
 7.27273  50.1527  i
 10.9091  46.5498  i
 14.5455  42.9452  i
 18.1818  39.3387  i
 21.8182  35.7303  i
 25.4545  32.1197  i
 29.0909  28.507  i
 32.7273  24.892  i
 36.3636  21.2746  i
 40  17.6547  i
 43.6364  14.0324  i
 47.2727  10.4074  i
 50.9091  6.77988  i
 54.5455  3.14968  i
 58.1818 -0.483202  i
 61.8182 -4.11878  i
 65.4545 -7.75705  i
 69.0909 -11.398  i
 72.7273 -15.0416  i
 76.3636 -18.6879  i
 80 -22.3368  i
 83.6364 -25.9882  i
 87.2727 -29.6421  i
 90.9091 -33.2984  i
 94.5455 -36.9571  i
 98.1818 -40.618  i
 101.818 -44.281  i
 105.455 -47.9461  i
 109.091 -51.6132  i
 112.727 -55.282  i
 116.364 -58.9525  i
 120 -62.6246  i
 123.636 -66.298  i
 127.273 -69.9727  i
 130.909 -73.6484  i
 134.545 -77.3251  i
 138.182 -81.0026  i
 141.818 -84.6806  i
 145.455 -88.3591  i
 149.091 -92.0379  i
 152.727 -95.7167  i
 156.364 -99.3955  i
 160 -103.074  i
 163.636 -106.752  i
 167.273 -110.43  i
 170.909 -114.106  i
 174.545 -117.782  i
 178.182 -121.457  i
 181.818 -125.131  i
 185.455 -128.803  i
 189.091 -132.473  i
 192.727 -136.142  i
 196.364 -139.809  i
 200 -143.475  i
 203.636 -147.138  i
 207.273 -150.799  i
 210.909 -154.458  i
 214.545 -158.114  i
 218.182 -161.769  i
 221.818 -165.42  i
 225.455 -169.069  i
 229.091 -172.716  i
 232.727 -176.36  i
 236.364 -180.001  i
 240 -183.639  i
 243.636 -187.275  i
 247.273 -190.908  i
 250.909 -194.539  i
 254.545 -198.166  i
 258.182 -201.792  i
 261.818 -205.414  i
 265.455 -209.034  i
 269.091 -212.652  i
 272.727 -216.267  i
 276.364 -219.88  i
 280 -223.491  i
 283.636 -227.099  i
 287.273 -230.706  i
 290.909 -234.311  i
 294.545 -237.914  i
 298.182 -241.515  i
 301.818 -245.115  i
 305.455 -248.714  i
 309.091 -252.311  i
 312.727 -255.908  i
 316.364 -259.504  i
 320 -263.098  i
 323.636 -266.693  i
 327.273 -270.287  i
 330.909 -273.881  i
 334.545 -277.475  i
 338.182 -281.069  i
 341.818 -284.663  i
 345.455 -288.258  i
 349.091 -291.854  i
 352.727 -295.45  i
 356.364 -299.048  i
 360 -302.646  i

