+0.2168-0.1832j +0.2659-0.3967j -0.5356+0.6229j -0.0468-0.1200j 
+0.0137-0.5054j +0.0275-0.5096j +0.1005-0.4889j +0.0837-0.4773j 
-0.1953+0.6173j -0.1321-0.6083j -0.0528-0.0730j +0.4138+0.1188j 
+0.1954+0.4544j +0.2848-0.2073j +0.2507-0.0716j -0.7122-0.2367j 
