X, 29.079980000,29.090099000,29.100219000,29.110349000,29.120500000,29.130630000,29.140750000,29.150869000,29.160989000,29.171119000,29.181240000,29.191360000,29.201480000,29.211639000,29.221759000,29.231889000,29.242010000,29.252130000,29.262250000,29.272380000,29.282499000,29.292619000,29.302780000,29.312900000,29.323020000,29.333150000,29.343269000,29.353389000,29.363510000,29.373640000,29.383789000,29.393920000,29.404039000,29.414159000,29.424280000,29.434410000,29.444530000,29.454650000,29.464769000,29.474929000,29.485050000,29.495180000,29.505300000,29.515420000,29.525539000,29.535669000,29.545789000,29.555950000,29.566070000,29.576190000,29.586309000,29.596439000,29.606559000,29.616680000,29.626800000,29.636959000,29.647079000,29.657209000,29.667329000,29.677450000,29.687570000,29.697700000,29.707820000,29.717939000,29.728099000,29.738220000,29.748340000,29.758470000,29.768590000,29.778709000,29.788829000,29.798959000,29.809080000,29.819240000,29.829359000,29.839479000,29.849599000,29.859729000,29.869850000,29.879970000
AG, 76,51,64,72,59,64,60,52,60,45,55,58,61,62,53,65,62,64,65,61,68,54,68,59,60,65,38,71,47,41,53,52,48,47,57,48,51,44,55,55,53,40,42,53,48,59,56,52,48,56,47,50,64,53,46,68,58,67,69,52,61,51,53,63,51,56,56,53,52,54,60,56,71,49,67,55,63,72,61,75
BG, 268,236,290,292,302,264,311,311,287,296,281,270,320,286,296,301,288,302,284,313,299,286,304,290,274,260,293,309,273,280,270,234,259,263,250,252,260,227,254,242,231,240,244,257,251,271,273,224,253,296,281,261,291,242,277,279,288,284,287,271,273,247,294,268,308,274,269,247,246,279,284,246,260,284,288,266,250,320,264,303
CG, 1197,1034,1239,1183,1258,1231,1306,1199,1139,1296,1276,1264,1271,1261,1268,1205,1282,1268,1196,1256,1179,1208,1205,1185,1159,1186,1195,1146,1145,1118,1083,1092,1078,1003,1024,991,1063,1006,1004,1007,1015,1035,1091,1050,991,1111,1121,1063,1115,1154,1195,1194,1171,1186,1160,1176,1227,1167,1200,1156,1138,1154,1173,1169,1161,1138,1095,1104,1081,1093,1219,1096,1186,1198,1202,1227,1252,1215,1265,1232
DG, 2861,2884,2871,2891,2869,2965,3024,3003,2961,3002,2977,3014,2974,3014,2964,3044,3067,3047,3021,3049,3061,2914,2883,2764,2777,2892,2728,2610,2693,2648,2434,2378,2432,2213,2250,2214,2228,2167,2242,2122,2256,2284,2327,2360,2468,2482,2592,2601,2703,2783,2765,2786,2751,2881,2852,2913,2909,2877,2920,2871,2851,2913,2880,2792,2768,2782,2747,2721,2522,2753,2785,2731,2893,2763,2902,2925,2966,2968,2982,3025
EG, 3597,3769,3574,3654,3731,3816,3816,3976,3868,3684,3868,3830,3787,3931,3817,3831,3888,3903,3840,3883,3727,3680,3599,3547,3400,3375,3228,3167,3036,2934,2755,2600,2579,2377,2350,2341,2316,2285,2268,2381,2303,2449,2455,2720,2707,2869,2891,3163,3276,3296,3399,3445,3560,3519,3658,3628,3637,3571,3596,3532,3593,3616,3762,3567,3600,3516,3415,3345,3326,3477,3540,3580,3665,3662,3686,3615,3802,3884,3740,3814
FG, 2053,2013,1963,2035,2075,2038,1987,2039,2012,2072,2166,2130,2101,2105,2188,2165,2071,2258,2009,2100,2093,1978,1962,1874,1825,1757,1607,1458,1427,1303,1125,1085,945,873,765,778,717,727,708,739,798,895,1028,1026,1142,1314,1436,1507,1595,1801,1835,1897,1867,1982,1917,1950,2069,2080,2109,2053,2000,2039,2054,2020,1959,1955,1926,1851,1746,1891,1911,1914,1992,2001,2003,2018,2020,2100,2031,2027
GH, 2833,2858,2894,2948,2926,2943,2965,3016,3107,2927,2932,2962,2957,2970,2910,2979,2941,2997,2933,2935,3001,2936,2907,3073,2954,3138,3339,3181,3406,3457,3495,3622,3639,3713,3789,3800,3778,3796,3799,3679,3559,3661,3498,3354,3355,3183,3138,3027,2967,3063,2798,2819,2739,2724,2628,2667,2710,2698,2698,2646,2658,2609,2665,2757,2719,2684,2649,2534,2581,2732,2790,2978,2923,2901,2865,3057,2888,3047,2950,2971
GI, 312,361,345,293,315,313,334,329,387,338,341,311,326,323,335,317,324,369,315,332,328,338,328,375,332,345,336,382,448,424,385,422,448,459,486,475,494,531,517,480,508,458,488,445,446,437,425,395,388,355,379,351,353,304,308,340,339,309,328,331,290,328,368,288,315,311,319,304,299,335,318,303,304,338,347,356,359,336,312,342
GJ, 3693,3655,3641,3782,3797,3976,3866,3914,3770,3970,3874,3812,3893,3885,3862,3927,3713,3860,3822,3825,3901,4060,4054,4129,4189,4274,4530,4571,4821,4717,5083,5123,5318,5419,5514,5724,5540,5526,5609,5386,5368,5212,5104,4978,4781,4636,4539,4305,4329,4142,4146,4005,3876,3740,3677,3809,3710,3588,3777,3579,3746,3673,3651,3665,3877,3727,3683,3424,3406,3501,3581,3667,3613,3807,3721,3704,3947,3884,3703,3802
