+0.5025+0.0000j +0.6511+0.0000j +0.3574-0.0000j +0.4425+0.0000j 
+0.7506-0.0000j -0.4155+0.0185j +0.0983-0.3154j -0.3205+0.2275j 
+0.3882+0.0000j +0.2176+0.0708j -0.6300+0.3959j -0.2523-0.4238j 
+0.1824+0.0000j -0.5471-0.2266j -0.0480+0.4552j +0.6366-0.0341j 
