A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
220.00	44654	43788	97689	6698	44654	97689	43788	6698	4	0	8	0	7	2	1	0	8	0	0	0	0	0
224.00	52227	35908	95728	8605	52227	95728	35908	8605	3	0	13	1	11	2	0	0	12	0	0	0	0	0
228.00	59321	29037	92198	10825	59321	92198	29037	10825	2	2	10	5	13	0	3	0	9	2	0	0	0	0
232.00	65114	22650	88590	14060	65114	88590	22650	14060	1	0	5	4	17	0	0	0	5	0	0	0	0	0
236.00	70976	16338	84312	17679	70976	84312	16338	17679	4	3	4	1	11	0	3	0	4	2	0	0	0	0
240.00	76491	10396	81357	20616	76491	81357	10396	20616	1	2	2	4	12	0	1	0	2	2	0	0	0	0
244.00	79957	6567	77469	25193	79957	77469	6567	25193	2	9	2	6	9	1	11	0	2	8	0	0	0	0
248.00	82512	3846	73148	29858	82512	73148	3846	29858	0	7	0	2	13	1	4	0	0	7	0	0	0	0
252.00	83933	2136	68754	34349	83933	68754	2136	34349	1	6	3	3	8	0	4	0	3	7	0	0	0	0
256.00	83518	1777	63415	40129	83518	63415	1777	40129	1	7	0	1	5	0	4	0	0	9	0	0	0	0
260.00	82108	2470	57757	46113	82108	57757	2470	46113	0	8	1	4	19	0	10	0	1	6	0	0	0	0
264.00	79652	4274	53578	50687	79652	53578	4274	50687	1	11	0	6	11	0	10	0	0	10	0	0	0	0
268.00	76925	6562	47075	58182	76925	47075	6562	58182	2	4	0	6	5	1	7	0	1	4	0	0	0	0
272.00	73036	11499	44185	61184	73036	44185	11499	61184	1	3	2	4	7	2	7	0	2	3	0	0	0	0
276.00	69212	15473	37716	67225	69212	37716	15473	67225	2	13	1	2	12	1	11	0	1	16	0	0	0	0
280.00	65542	19378	31651	73417	65542	31651	19378	73417	4	7	2	6	6	6	6	0	2	6	0	0	0	0
284.00	59559	26920	28315	76113	59559	28315	26920	76113	3	11	1	4	2	4	7	0	1	12	0	0	0	0
