-0.773661+0.000000j +0.000000+0.454069j +0.197136+0.000000j -0.000000-0.395484j 
+0.000000+0.454069j +0.089071+0.000000j +0.000000+0.395484j +0.793398+0.000000j 
+0.197136+0.000000j +0.000000+0.395484j +0.773661+0.000000j -0.000000+0.454069j 
-0.000000-0.395484j +0.793398+0.000000j -0.000000+0.454069j -0.089071+0.000000j 
