+0.3790+0.0000j +0.3381+0.0000j +0.7030+0.0000j +0.4978+0.0000j 
+0.4564-0.0000j +0.6406+0.2530j -0.5285-0.1757j -0.0362+0.0763j 
+0.4656+0.0000j -0.4412+0.1601j -0.2602+0.3113j +0.3126-0.5483j 
+0.6567-0.0000j -0.3275-0.2894j +0.1460-0.0986j -0.4837+0.3357j 
