
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  55.8137  i
 3.63636  52.2644  i
 7.27273  48.7161  i
 10.9091  45.1683  i
 14.5455  41.6207  i
 18.1818  38.073  i
 21.8182  34.5248  i
 25.4545  30.9757  i
 29.0909  27.4255  i
 32.7273  23.8736  i
 36.3636  20.3199  i
 40  16.7639  i
 43.6364  13.2054  i
 47.2727  9.64404  i
 50.9091  6.07949  i
 54.5455  2.51149  i
 58.1818 -1.06025  i
 61.8182 -4.63598  i
 65.4545 -8.21595  i
 69.0909 -11.8004  i
 72.7273 -15.3895  i
 76.3636 -18.9834  i
 80 -22.5824  i
 83.6364 -26.1866  i
 87.2727 -29.7961  i
 90.9091 -33.4111  i
 94.5455 -37.0315  i
 98.1818 -40.6575  i
 101.818 -44.2891  i
 105.455 -47.9264  i
 109.091 -51.5692  i
 112.727 -55.2177  i
 116.364 -58.8718  i
 120 -62.5313  i
 123.636 -66.1962  i
 127.273 -69.8664  i
 130.909 -73.5417  i
 134.545 -77.222  i
 138.182 -80.9071  i
 141.818 -84.5969  i
 145.455 -88.291  i
 149.091 -91.9893  i
 152.727 -95.6915  i
 156.364 -99.3973  i
 160 -103.107  i
 163.636 -106.819  i
 167.273 -110.534  i
 170.909 -114.251  i
 174.545 -117.971  i
 178.182 -121.692  i
 181.818 -125.415  i
 185.455 -129.139  i
 189.091 -132.864  i
 192.727 -136.589  i
 196.364 -140.314  i
 200 -144.039  i
 203.636 -147.763  i
 207.273 -151.486  i
 210.909 -155.208  i
 214.545 -158.928  i
 218.182 -162.646  i
 221.818 -166.361  i
 225.455 -170.074  i
 229.091 -173.784  i
 232.727 -177.49  i
 236.364 -181.193  i
 240 -184.892  i
 243.636 -188.587  i
 247.273 -192.278  i
 250.909 -195.964  i
 254.545 -199.645  i
 258.182 -203.321  i
 261.818 -206.992  i
 265.455 -210.658  i
 269.091 -214.319  i
 272.727 -217.974  i
 276.364 -221.623  i
 280 -225.267  i
 283.636 -228.906  i
 287.273 -232.538  i
 290.909 -236.165  i
 294.545 -239.787  i
 298.182 -243.403  i
 301.818 -247.013  i
 305.455 -250.618  i
 309.091 -254.218  i
 312.727 -257.813  i
 316.364 -261.403  i
 320 -264.989  i
 323.636 -268.569  i
 327.273 -272.146  i
 330.909 -275.718  i
 334.545 -279.287  i
 338.182 -282.852  i
 341.818 -286.414  i
 345.455 -289.973  i
 349.091 -293.529  i
 352.727 -297.084  i
 356.364 -300.636  i
 360 -304.186  i

