
# Curve 0 of 1, 100 points
# Curve title: "phiminus(x)"
# x y type
 0 -19.4973  i
 3.63636 -20.162  i
 7.27273 -20.8369  i
 10.9091 -21.5192  i
 14.5455 -22.2063  i
 18.1818 -22.8953  i
 21.8182 -23.5836  i
 25.4545 -24.2682  i
 29.0909 -24.9465  i
 32.7273 -25.6157  i
 36.3636 -26.2731  i
 40 -26.9162  i
 43.6364 -27.5422  i
 47.2727 -28.1487  i
 50.9091 -28.7332  i
 54.5455 -29.2934  i
 58.1818 -29.827  i
 61.8182 -30.3319  i
 65.4545 -30.806  i
 69.0909 -31.2475  i
 72.7273 -31.6545  i
 76.3636 -32.0254  i
 80 -32.3588  i
 83.6364 -32.6532  i
 87.2727 -32.9075  i
 90.9091 -33.1207  i
 94.5455 -33.2919  i
 98.1818 -33.4204  i
 101.818 -33.5057  i
 105.455 -33.5475  i
 109.091 -33.5455  i
 112.727 -33.4999  i
 116.364 -33.4107  i
 120 -33.2784  i
 123.636 -33.1035  i
 127.273 -32.8866  i
 130.909 -32.6287  i
 134.545 -32.3308  i
 138.182 -31.994  i
 141.818 -31.6199  i
 145.455 -31.2097  i
 149.091 -30.7653  i
 152.727 -30.2884  i
 156.364 -29.7808  i
 160 -29.2448  i
 163.636 -28.6823  i
 167.273 -28.0958  i
 170.909 -27.4875  i
 174.545 -26.8598  i
 178.182 -26.2154  i
 181.818 -25.5568  i
 185.455 -24.8867  i
 189.091 -24.2077  i
 192.727 -23.5227  i
 196.364 -22.8343  i
 200 -22.1453  i
 203.636 -21.4585  i
 207.273 -20.7767  i
 210.909 -20.1026  i
 214.545 -19.4389  i
 218.182 -18.7884  i
 221.818 -18.1535  i
 225.455 -17.537  i
 229.091 -16.9412  i
 232.727 -16.3685  i
 236.364 -15.8213  i
 240 -15.3018  i
 243.636 -14.8121  i
 247.273 -14.354  i
 250.909 -13.9296  i
 254.545 -13.5404  i
 258.182 -13.1881  i
 261.818 -12.8741  i
 265.455 -12.5996  i
 269.091 -12.3657  i
 272.727 -12.1734  i
 276.364 -12.0235  i
 280 -11.9165  i
 283.636 -11.853  i
 287.273 -11.833  i
 290.909 -11.8568  i
 294.545 -11.9243  i
 298.182 -12.0351  i
 301.818 -12.1888  i
 305.455 -12.3848  i
 309.091 -12.6223  i
 312.727 -12.9003  i
 316.364 -13.2178  i
 320 -13.5735  i
 323.636 -13.9658  i
 327.273 -14.3933  i
 330.909 -14.8542  i
 334.545 -15.3467  i
 338.182 -15.8687  i
 341.818 -16.4183  i
 345.455 -16.9931  i
 349.091 -17.5908  i
 352.727 -18.2091  i
 356.364 -18.8454  i
 360 -19.4973  i

