A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
220.00	164506	14456	62878	2375	164506	62878	14456	2375	3	0	1	0	20	0	1	0	1	0	0	0	0	0
224.00	167196	13199	61640	2819	167196	61640	13199	2819	7	0	0	0	15	0	0	0	1	0	0	0	0	0
228.00	168603	12209	60100	3864	168603	60100	12209	3864	2	0	1	0	18	0	2	0	0	0	0	0	0	0
232.00	169304	10656	58768	4505	169304	58768	10656	4505	5	0	1	3	16	0	0	0	2	0	0	0	0	0
236.00	168341	9508	56657	6064	168341	56657	9508	6064	2	2	1	0	20	0	2	0	1	2	0	0	0	0
240.00	171014	8163	55866	7274	171014	55866	8163	7274	2	2	0	1	24	0	5	0	0	3	0	0	0	0
244.00	171461	7337	54566	8945	171461	54566	7337	8945	5	3	0	0	30	0	5	0	0	2	0	0	0	0
248.00	171942	6371	53422	10820	171942	53422	6371	10820	5	4	0	1	15	0	2	0	0	4	0	0	0	0
252.00	170581	5887	52962	12446	170581	52962	5887	12446	1	3	0	0	21	1	2	0	0	3	0	0	0	0
256.00	168481	5202	51806	14630	168481	51806	5202	14630	3	5	0	2	21	0	5	0	0	5	0	0	0	0
260.00	167518	4924	50717	16687	167518	50717	4924	16687	3	3	0	3	18	0	1	0	0	3	0	0	0	0
264.00	166858	4790	49652	18412	166858	49652	4790	18412	1	7	0	1	22	0	8	0	0	4	0	0	0	0
268.00	165878	4989	48324	20146	165877	48324	4989	20146	1	6	0	4	9	0	10	0	0	6	0	0	0	0
272.00	165394	4995	47504	20893	165394	47504	4995	20893	2	5	0	4	14	0	5	0	0	5	0	0	0	0
276.00	165825	5517	46549	22842	165825	46549	5517	22842	2	3	0	3	11	0	8	0	0	4	0	0	0	0
280.00	165682	6012	45159	23077	165682	45159	6012	23077	3	8	0	3	18	0	9	0	1	10	0	0	0	0
284.00	165881	6441	43387	23931	165881	43387	6441	23931	0	10	0	2	22	0	12	0	0	11	0	0	0	0
288.00	167732	7432	41353	24904	167732	41353	7432	24904	0	9	0	2	12	0	11	0	0	8	0	0	0	0
292.00	167308	8032	39514	25773	167308	39514	8032	25773	6	8	2	1	14	0	11	0	2	7	0	0	0	0
