
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  61.7968  i
 3.63636  58.1979  i
 7.27273  54.6042  i
 10.9091  51.0155  i
 14.5455  47.4315  i
 18.1818  43.8522  i
 21.8182  40.2772  i
 25.4545  36.7063  i
 29.0909  33.1393  i
 32.7273  29.5758  i
 36.3636  26.0157  i
 40  22.4585  i
 43.6364  18.9039  i
 47.2727  15.3517  i
 50.9091  11.8015  i
 54.5455  8.2529  i
 58.1818  4.70559  i
 61.8182  1.15921  i
 65.4545 -2.3866  i
 69.0909 -5.93222  i
 72.7273 -9.478  i
 76.3636 -13.0243  i
 80 -16.5715  i
 83.6364 -20.12  i
 87.2727 -23.67  i
 90.9091 -27.2221  i
 94.5455 -30.7764  i
 98.1818 -34.3333  i
 101.818 -37.8932  i
 105.455 -41.4563  i
 109.091 -45.023  i
 112.727 -48.5935  i
 116.364 -52.1681  i
 120 -55.747  i
 123.636 -59.3305  i
 127.273 -62.9188  i
 130.909 -66.5121  i
 134.545 -70.1105  i
 138.182 -73.7143  i
 141.818 -77.3234  i
 145.455 -80.9381  i
 149.091 -84.5585  i
 152.727 -88.1845  i
 156.364 -91.8163  i
 160 -95.4538  i
 163.636 -99.0971  i
 167.273 -102.746  i
 170.909 -106.401  i
 174.545 -110.061  i
 178.182 -113.727  i
 181.818 -117.398  i
 185.455 -121.075  i
 189.091 -124.756  i
 192.727 -128.442  i
 196.364 -132.134  i
 200 -135.829  i
 203.636 -139.529  i
 207.273 -143.233  i
 210.909 -146.94  i
 214.545 -150.651  i
 218.182 -154.365  i
 221.818 -158.082  i
 225.455 -161.802  i
 229.091 -165.523  i
 232.727 -169.247  i
 236.364 -172.971  i
 240 -176.697  i
 243.636 -180.424  i
 247.273 -184.151  i
 250.909 -187.878  i
 254.545 -191.605  i
 258.182 -195.331  i
 261.818 -199.056  i
 265.455 -202.779  i
 269.091 -206.501  i
 272.727 -210.221  i
 276.364 -213.938  i
 280 -217.652  i
 283.636 -221.363  i
 287.273 -225.071  i
 290.909 -228.775  i
 294.545 -232.476  i
 298.182 -236.172  i
 301.818 -239.863  i
 305.455 -243.55  i
 309.091 -247.232  i
 312.727 -250.909  i
 316.364 -254.581  i
 320 -258.247  i
 323.636 -261.908  i
 327.273 -265.563  i
 330.909 -269.212  i
 334.545 -272.856  i
 338.182 -276.494  i
 341.818 -280.127  i
 345.455 -283.753  i
 349.091 -287.374  i
 352.727 -290.989  i
 356.364 -294.599  i
 360 -298.203  i

