+0.2171+0.0000j +0.6875+0.0000j +0.0849+0.0000j +0.6877+0.0000j 
+0.1440+0.0000j +0.5103-0.1565j +0.5027+0.2075j -0.6177+0.1308j 
+0.4451+0.0000j +0.1181-0.3026j -0.7264+0.2590j -0.1689+0.2705j 
+0.8568+0.0000j -0.3213+0.1835j +0.2714-0.1694j +0.0173-0.1625j 
