-0.288874+0.000000j +0.000000+0.481456j +0.685224+0.000000j +0.000000-0.463919j 
+0.000000+0.481456j +0.674038+0.000000j +0.000000+0.463919j +0.314088+0.000000j 
+0.685224+0.000000j +0.000000+0.463919j +0.288874+0.000000j -0.000000+0.481456j 
+0.000000-0.463919j +0.314088+0.000000j -0.000000+0.481456j -0.674038+0.000000j 
