-0.431424+0.000000j +0.000000+0.497797j +0.566076+0.000000j +0.000000-0.495609j 
+0.000000+0.497797j +0.564170+0.000000j +0.000000+0.495609j +0.433914+0.000000j 
+0.566076+0.000000j +0.000000+0.495609j +0.431424+0.000000j -0.000000+0.497797j 
+0.000000-0.495609j +0.433914+0.000000j -0.000000+0.497797j -0.564170+0.000000j 
