A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
220.00	75268	151020	23320	4439	75268	23320	151020	4439	27	0	9	1	3	2	0	0	8	0	0	0	0	0
224.00	76259	152218	23369	4465	76259	23369	152218	4465	17	1	9	0	4	0	1	0	8	1	0	0	0	0
228.00	75277	150964	23493	4475	75277	23493	150964	4475	26	0	3	1	1	1	0	0	3	0	0	0	0	0
232.00	75872	150705	23058	4536	75872	23058	150705	4536	19	0	4	2	7	0	0	0	3	0	0	0	0	0
236.00	76268	150518	23506	4368	76268	23506	150518	4368	26	1	6	0	6	2	1	0	7	1	0	0	0	0
240.00	77077	149813	23549	4431	77077	23549	149813	4431	34	1	10	0	4	0	1	0	10	1	0	0	0	0
244.00	77785	149437	23527	4377	77785	23527	149437	4377	32	1	11	0	7	0	1	0	11	1	0	0	0	0
248.00	78346	148551	23407	4414	78346	23407	148551	4414	23	1	2	0	7	2	2	0	2	0	0	0	0	0
252.00	79597	148707	23380	4355	79597	23380	148707	4355	18	2	5	2	3	3	0	0	4	2	0	0	0	0
256.00	78471	148085	23625	4444	78471	23625	148085	4444	23	0	9	0	4	1	1	0	9	0	0	0	0	0
260.00	80094	147706	23462	4334	80094	23462	147706	4334	21	0	10	0	6	2	1	0	13	0	0	0	0	0
264.00	80213	146718	23550	4457	80213	23550	146718	4457	31	0	4	0	4	4	0	0	5	0	0	0	0	0
268.00	80661	145640	23723	4363	80661	23723	145640	4363	28	1	2	0	2	3	2	0	3	1	0	0	0	0
272.00	80853	145792	23469	4388	80853	23469	145792	4388	20	0	7	1	1	1	1	0	6	0	0	0	0	0
276.00	81232	144521	23460	4306	81232	23460	144521	4306	17	0	9	0	3	1	0	0	8	0	0	0	0	0
280.00	82267	144509	23574	4479	82267	23574	144509	4479	23	1	8	1	2	4	1	0	9	1	0	0	0	0
284.00	82468	144929	23643	4410	82468	23643	144929	4410	21	0	8	0	5	0	0	0	6	1	0	0	0	0
288.00	82636	145996	23173	4485	82636	23173	145996	4485	28	0	7	0	5	2	0	0	7	0	0	0	0	0
292.00	82351	144865	23491	4506	82351	23491	144865	4506	24	0	10	0	5	1	0	0	8	0	0	0	0	0
296.00	82386	143649	23417	4430	82386	23417	143649	4430	27	1	8	0	5	5	0	0	6	1	0	0	0	0
300.00	82542	143897	23541	4587	82542	23541	143897	4587	27	0	4	0	7	1	1	0	4	0	0	0	0	0
304.00	82831	144543	23178	4668	82831	23178	144543	4668	24	1	6	0	3	1	2	0	9	2	0	0	0	0
308.00	82384	144670	23322	4460	82384	23322	144670	4460	29	1	10	0	6	2	1	0	7	1	0	0	0	0
312.00	82099	143399	23384	4511	82099	23384	143399	4511	23	1	5	0	3	1	1	0	5	1	0	0	0	0
316.00	81687	145210	23370	4668	81687	23370	145210	4668	24	1	8	1	3	0	0	0	8	1	0	0	0	0
320.00	81799	145371	23377	4794	81799	23377	145371	4794	21	0	11	0	6	1	0	0	11	0	0	0	0	0
324.00	81437	145421	23296	4844	81437	23296	145421	4844	23	0	7	0	4	2	0	0	7	0	0	0	0	0
328.00	80904	146131	23318	4965	80904	23318	146131	4965	26	0	5	0	4	2	0	0	8	0	0	0	0	0
332.00	81219	145990	23073	4870	81219	23073	145990	4870	22	0	7	0	7	2	2	0	10	1	0	0	0	0
336.00	80162	146736	22923	4861	80162	22923	146736	4861	34	1	3	0	2	1	1	0	3	1	0	0	0	0
340.00	79703	146174	22984	4834	79703	22984	146174	4834	26	2	6	2	2	3	2	0	6	2	0	0	0	0
344.00	79708	146599	23304	4784	79708	23304	146599	4784	25	2	6	0	3	3	0	0	6	2	0	0	0	0
348.00	79568	146481	23187	5028	79568	23187	146481	5028	32	0	6	1	5	2	1	0	5	0	0	0	0	0
352.00	79400	147235	22934	5011	79400	22934	147235	5011	26	1	7	1	3	4	2	0	6	0	0	0	0	0
356.00	78914	147989	23180	4851	78914	23180	147989	4851	32	2	7	0	4	1	0	0	6	2	0	0	0	0
360.00	78702	147299	22971	4841	78702	22971	147299	4841	25	0	12	0	4	2	0	0	11	0	0	0	0	0
