-0.259757+0.000000j +0.000000+0.462362j +0.719050+0.000000j -0.000000-0.449125j 
+0.000000+0.462362j +0.711204+0.000000j +0.000000+0.449125j +0.280528+0.000000j 
+0.719050+0.000000j +0.000000+0.449125j +0.259757+0.000000j -0.000000+0.462362j 
-0.000000-0.449125j +0.280528+0.000000j -0.000000+0.462362j -0.711204+0.000000j 
