A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	2685	139152	58499	47034	2685	58499	139152	47034	37	13	53	54	24	71	5	60	85	13	0	0	0	0
4.00	2852	137332	61092	44120	2852	61092	137332	44120	1	0	17	5	0	9	0	0	16	0	0	0	0	0
8.00	3355	137200	65392	40819	3355	65392	137200	40819	1	1	21	2	2	11	1	0	26	1	0	0	0	0
12.00	3661	136711	67687	38237	3661	67687	136711	38237	2	0	16	8	5	12	0	0	18	0	0	0	0	0
16.00	4984	136690	69289	36140	4984	69289	136690	36140	2	0	18	7	0	14	0	0	18	0	0	0	0	0
20.00	5827	137402	68634	35763	5827	68634	137402	35763	1	1	22	4	0	10	0	0	22	1	0	0	0	0
24.00	7283	137641	68030	36431	7283	68030	137641	36431	2	0	21	12	0	9	0	0	24	0	0	0	0	0
28.00	8666	138178	65639	38095	8666	65639	138178	38095	1	0	18	3	0	12	1	0	18	0	0	0	0	0
32.00	10728	137657	61987	40598	10728	61987	137657	40598	2	0	15	5	2	9	1	0	13	0	0	0	0	0
36.00	12489	137078	57477	44121	12489	57477	137078	44121	6	0	18	7	0	11	2	0	19	0	0	0	0	0
40.00	14830	136648	52720	48625	14830	52720	136648	48625	4	4	20	3	0	10	2	0	20	5	0	0	0	0
44.00	16790	135101	46325	53767	16790	46325	135101	53767	7	2	9	3	2	14	1	0	9	1	0	0	0	0
48.00	18788	134105	40094	60006	18788	40094	134105	60006	2	2	6	4	2	18	3	0	7	3	0	0	0	0
52.00	21850	130818	33974	66111	21850	33974	130818	66111	11	1	6	4	1	13	4	0	5	2	0	0	0	0
56.00	23979	127256	27943	72652	23979	27943	127256	72652	5	3	9	4	4	19	1	0	7	3	0	0	0	0
60.00	26488	124666	21886	79062	26488	21886	124666	79062	11	5	7	8	1	16	4	0	6	7	0	0	0	0
64.00	30176	117195	17885	84174	30176	17885	117195	84174	6	9	7	1	4	24	6	0	7	7	0	0	0	0
68.00	33079	112931	13658	89081	33079	13658	112931	89081	10	6	4	2	0	19	6	0	4	5	0	0	0	0
72.00	37209	107841	10272	94462	37209	10272	107841	94462	8	6	3	4	1	25	4	0	3	6	0	0	0	0
76.00	40012	104501	7372	98315	40012	7372	104501	98315	15	12	1	0	3	14	7	0	1	12	0	0	0	0
80.00	42405	99688	5734	101955	42405	5734	99688	101955	11	5	1	0	0	24	12	0	1	5	0	0	0	0
84.00	45899	94587	5071	103520	45899	5071	94587	103520	9	9	2	3	1	16	7	0	2	11	0	0	0	0
88.00	49518	89884	5396	104564	49518	5396	89884	104564	14	13	0	1	0	21	9	0	0	12	0	0	0	0
92.00	51793	86265	6469	104225	51793	6469	86265	104225	10	16	2	0	0	18	16	0	2	14	0	0	0	0
96.00	56158	81126	7577	102210	56158	7577	81126	102210	3	13	3	1	1	16	14	0	2	12	0	0	0	0
100.00	58323	78617	10111	100220	58323	10111	78617	100220	9	13	1	2	2	21	15	0	1	13	0	0	0	0
104.00	60423	77409	12894	97023	60423	12894	77409	97023	10	10	4	2	1	16	10	0	3	10	0	0	0	0
108.00	63084	76590	15407	93702	63084	15407	76590	93702	9	10	5	5	3	11	7	0	3	12	0	0	0	0
112.00	64517	76543	18902	89426	64517	18902	76543	89426	15	17	5	4	2	23	14	0	5	13	0	0	0	0
116.00	65008	78148	21622	84133	65008	21622	78148	84133	6	15	1	10	2	21	8	0	1	12	0	0	0	0
120.00	64756	78964	25597	78587	64756	25597	78964	78587	8	14	5	8	5	7	8	0	3	14	0	0	0	0
124.00	64158	81278	28628	73986	64158	28628	81278	73986	14	5	8	4	3	11	7	0	8	6	0	0	0	0
128.00	62554	84125	32752	68801	62554	32752	84125	68801	10	13	7	3	5	15	9	0	7	13	0	0	0	0
132.00	60602	88171	36706	64667	60602	36706	88171	64667	9	13	10	7	2	10	8	0	5	12	0	0	0	0
136.00	56898	93939	39446	60447	56898	39446	93939	60447	14	8	6	2	5	9	10	0	9	8	0	0	0	0
140.00	53881	97654	43247	56416	53881	43247	97654	56416	10	7	8	6	14	14	5	0	8	6	0	0	0	0
144.00	50061	101925	46381	52419	50060	46381	101925	52419	14	3	5	5	1	13	6	0	7	3	0	0	0	0
148.00	44079	105275	48569	49291	44079	48569	105275	49291	8	3	7	2	3	12	4	0	7	3	0	0	0	0
152.00	37914	108149	50242	46089	37914	50242	108149	46089	7	5	9	9	4	12	2	0	9	4	0	0	0	0
156.00	33239	117776	53312	46020	33239	53312	117776	46020	10	1	12	3	4	15	4	0	13	2	0	0	0	0
160.00	26223	124621	55596	45885	26223	55596	124621	45885	9	1	13	7	1	11	3	0	12	1	0	0	0	0
164.00	21226	128633	57690	45327	21226	57690	128633	45327	7	1	14	9	3	9	1	0	13	1	0	0	0	0
168.00	16757	130853	60755	43662	16757	60755	130853	43662	10	2	13	7	4	10	3	0	14	2	0	0	0	0
172.00	12009	134440	62601	43239	12009	62601	134440	43239	2	2	21	5	0	13	3	0	19	1	0	0	0	0
176.00	8434	136233	65107	42091	8434	65107	136233	42091	6	3	14	4	3	12	2	0	17	4	0	0	0	0
180.00	6011	138379	66946	41642	6011	66946	138379	41642	1	0	23	9	1	9	0	0	19	0	0	0	0	0
184.00	3841	139189	68334	41496	3841	68334	139189	41496	1	0	15	6	1	6	0	0	15	0	0	0	0	0
188.00	2928	139579	69987	40660	2928	69987	139579	40660	2	0	25	4	0	14	0	0	26	0	0	0	0	0
192.00	3405	138440	71285	40356	3405	71285	138440	40356	0	0	20	9	0	11	0	0	18	0	0	0	0	0
196.00	5585	134007	71121	39081	5585	71121	134007	39081	0	0	21	13	0	7	0	0	19	0	0	0	0	0
200.00	8605	131721	71886	38407	8605	71886	131721	38407	1	2	21	8	1	14	2	0	19	2	0	0	0	0
204.00	11734	129545	72461	37939	11734	72461	129545	37939	5	3	15	7	3	6	2	0	11	2	0	0	0	0
208.00	16337	126739	72246	36634	16337	72246	126739	36634	8	3	23	8	4	5	0	0	21	2	0	0	0	0
212.00	22614	119326	71663	35630	22614	71663	119326	35630	6	2	15	3	3	13	2	0	16	3	0	0	0	0
216.00	29305	114949	71517	35589	29305	71517	114949	35589	3	4	21	5	4	11	3	0	17	4	0	0	0	0
220.00	34615	110453	69638	36126	34615	69638	110453	36126	10	3	17	8	5	9	1	0	13	3	0	0	0	0
224.00	40636	104109	67825	36936	40636	67825	104109	36936	12	3	18	4	5	8	3	0	18	3	0	0	0	0
228.00	45483	99543	65561	38044	45483	65561	99543	38044	10	4	10	3	8	10	5	0	12	4	0	0	0	0
