
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  56.6176  i
 3.63636  53.0421  i
 7.27273  49.4642  i
 10.9091  45.8836  i
 14.5455  42.3001  i
 18.1818  38.7134  i
 21.8182  35.1235  i
 25.4545  31.53  i
 29.0909  27.9328  i
 32.7273  24.3318  i
 36.3636  20.7268  i
 40  17.1177  i
 43.6364  13.5044  i
 47.2727  9.88679  i
 50.9091  6.26478  i
 54.5455  2.63832  i
 58.1818 -0.992619  i
 61.8182 -4.62807  i
 65.4545 -8.26803  i
 69.0909 -11.9125  i
 72.7273 -15.5614  i
 76.3636 -19.2147  i
 80 -22.8724  i
 83.6364 -26.5343  i
 87.2727 -30.2004  i
 90.9091 -33.8706  i
 94.5455 -37.5446  i
 98.1818 -41.2224  i
 101.818 -44.9037  i
 105.455 -48.5885  i
 109.091 -52.2764  i
 112.727 -55.9674  i
 116.364 -59.6611  i
 120 -63.3574  i
 123.636 -67.056  i
 127.273 -70.7566  i
 130.909 -74.4591  i
 134.545 -78.1631  i
 138.182 -81.8683  i
 141.818 -85.5745  i
 145.455 -89.2814  i
 149.091 -92.9887  i
 152.727 -96.6962  i
 156.364 -100.403  i
 160 -104.11  i
 163.636 -107.816  i
 167.273 -111.522  i
 170.909 -115.225  i
 174.545 -118.928  i
 178.182 -122.628  i
 181.818 -126.327  i
 185.455 -130.023  i
 189.091 -133.716  i
 192.727 -137.407  i
 196.364 -141.094  i
 200 -144.779  i
 203.636 -148.46  i
 207.273 -152.137  i
 210.909 -155.811  i
 214.545 -159.481  i
 218.182 -163.146  i
 221.818 -166.808  i
 225.455 -170.465  i
 229.091 -174.118  i
 232.727 -177.767  i
 236.364 -181.411  i
 240 -185.05  i
 243.636 -188.685  i
 247.273 -192.316  i
 250.909 -195.942  i
 254.545 -199.563  i
 258.182 -203.181  i
 261.818 -206.794  i
 265.455 -210.402  i
 269.091 -214.007  i
 272.727 -217.607  i
 276.364 -221.204  i
 280 -224.797  i
 283.636 -228.387  i
 287.273 -231.973  i
 290.909 -235.557  i
 294.545 -239.137  i
 298.182 -242.715  i
 301.818 -246.29  i
 305.455 -249.863  i
 309.091 -253.434  i
 312.727 -257.004  i
 316.364 -260.572  i
 320 -264.139  i
 323.636 -267.705  i
 327.273 -271.27  i
 330.909 -274.836  i
 334.545 -278.401  i
 338.182 -281.967  i
 341.818 -285.533  i
 345.455 -289.1  i
 349.091 -292.668  i
 352.727 -296.238  i
 356.364 -299.809  i
 360 -303.382  i

