+0.3215+0.0000j +0.4378+0.0000j +0.5183-0.0000j +0.6605+0.0000j 
+0.4412+0.0000j +0.3150+0.6166j -0.3798-0.3952j -0.1256-0.0986j 
+0.3222+0.0000j -0.2479+0.1599j -0.1146+0.6432j +0.0974-0.6106j 
+0.7734+0.0000j -0.2585-0.4184j +0.0489-0.0425j -0.2435+0.3107j 
