+0.5054+0.0000j +0.0000+0.2297j +0.8222+0.0000j +0.0000-0.1255j 
+0.0000+0.2297j +0.9649+0.0000j +0.0000+0.1255j +0.0191+0.0000j 
+0.8222+0.0000j +0.0000+0.1255j -0.5054+0.0000j -0.0000+0.2297j 
+0.0000-0.1255j +0.0191+0.0000j -0.0000+0.2297j -0.9649+0.0000j 
