-0.487179+0.000000j +0.000000+0.512821j +0.499836+0.000000j -0.000000-0.499836j 
+0.000000+0.512821j +0.487179+0.000000j +0.000000+0.499836j +0.499836+0.000000j 
+0.499836+0.000000j +0.000000+0.499836j +0.487179+0.000000j -0.000000+0.512821j 
-0.000000-0.499836j +0.499836+0.000000j -0.000000+0.512821j -0.487179+0.000000j 
