+0.3353+0.0000j +0.3710+0.0000j +0.8062+0.0000j +0.3161+0.0000j 
+0.5229-0.0000j +0.5524-0.3125j -0.5298+0.1039j +0.1482+0.1017j 
+0.6025-0.0000j -0.4330+0.3962j -0.1279+0.0089j +0.1953-0.4878j 
+0.5012-0.0000j -0.3041-0.1503j +0.1670-0.1192j -0.6009+0.4803j 
