+0.4937+0.0000j +0.4740+0.0000j +0.4141+0.0000j +0.6001+0.0000j 
+0.2376+0.0000j +0.6866-0.0470j -0.5783+0.1328j -0.3389-0.0545j 
+0.3494+0.0000j -0.1798+0.2554j +0.2805+0.5212j -0.3389-0.5614j 
+0.7601+0.0000j -0.4399-0.1027j -0.2171-0.2811j -0.1280+0.2751j 
