A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	16849	135864	53852	25812	16849	53852	135864	25812	0	1	13	2	2	11	2	0	14	1	0	0	0	0
4.00	17648	133813	57887	21541	17648	57887	133813	21541	8	1	14	3	2	6	1	0	14	1	0	0	0	0
8.00	19265	130963	62444	17085	19265	62444	130963	17085	4	0	16	8	3	7	1	0	17	0	0	0	0	0
12.00	21344	130177	67151	12767	21344	67151	130177	12767	6	0	18	2	1	2	0	0	18	0	0	0	0	0
16.00	23938	127705	69778	10070	23938	69778	127705	10070	8	0	18	2	3	1	0	0	20	0	0	0	0	0
20.00	27094	125140	71551	7784	27094	71551	125140	7784	6	2	20	2	7	1	2	0	19	2	0	0	0	0
24.00	31682	121931	71238	7131	31682	71238	121931	7131	4	0	10	0	3	1	0	0	8	0	0	0	0	0
28.00	37510	116780	70558	7415	37510	70558	116780	7415	6	0	23	0	6	4	1	0	24	0	0	0	0	0
32.00	40183	115970	67424	9214	40183	67424	115970	9214	9	0	13	1	4	3	0	0	13	0	0	0	0	0
36.00	46998	108862	65015	11290	46998	65015	108862	11290	10	1	15	2	6	2	2	0	12	1	0	0	0	0
40.00	50808	106020	60696	15191	50808	60696	106020	15191	9	1	13	1	10	1	4	0	12	1	0	0	0	0
44.00	56360	100056	56649	19678	56360	56649	100056	19678	10	4	14	2	12	4	1	0	12	3	0	0	0	0
48.00	61674	94747	51012	24967	61674	51012	94747	24967	11	1	2	0	6	6	1	0	2	1	0	0	0	0
52.00	67521	89004	45268	30771	67521	45268	89004	30771	14	9	8	2	7	8	3	0	7	10	0	0	0	0
56.00	75170	79684	39843	36299	75170	39843	79684	36299	16	6	4	4	4	7	4	0	4	5	0	0	0	0
60.00	78446	75843	32910	43862	78446	32910	75843	43862	10	12	4	2	9	6	13	0	4	11	0	0	0	0
64.00	86654	65421	28249	48823	86654	28249	65421	48823	10	3	5	2	6	5	9	0	4	3	0	0	0	0
68.00	91000	59176	23164	54709	91000	23164	59176	54709	16	9	1	2	8	7	9	0	1	7	0	0	0	0
72.00	98542	51737	18597	60198	98542	18597	51737	60198	9	14	2	1	5	4	9	0	2	15	0	0	0	0
76.00	104629	43366	14981	65439	104629	14981	43366	65439	8	18	3	0	2	1	14	0	3	19	0	0	0	0
80.00	110054	35325	12513	68309	110054	12513	35325	68309	1	13	1	2	5	8	17	0	1	13	0	0	0	0
84.00	115287	29224	9627	71636	115287	9627	29224	71636	5	15	0	2	0	5	16	0	0	15	0	0	0	0
88.00	119362	23261	8348	73931	119362	8348	23261	73931	8	19	0	1	1	2	16	0	0	16	0	0	0	0
92.00	125310	16764	7695	74798	125310	7695	16764	74798	4	18	0	0	7	4	17	0	0	16	0	0	0	0
96.00	129839	11544	7689	74871	129839	7689	11544	74871	6	25	0	1	1	1	15	0	0	25	0	0	0	0
100.00	133775	7239	8674	74161	133775	8674	7239	74161	4	22	1	2	0	0	19	0	1	23	0	0	0	0
104.00	137048	4775	10496	72619	137048	10496	4775	72619	1	19	0	1	3	0	17	0	0	18	0	0	0	0
108.00	139648	3192	12052	69583	139648	12052	3192	69583	1	20	0	2	2	0	16	0	0	19	0	0	0	0
112.00	140647	3360	13822	66735	140647	13822	3360	66735	1	16	0	1	2	0	23	0	0	14	0	0	0	0
116.00	141405	5132	16408	63181	141405	16408	5132	63181	1	20	0	1	2	0	17	0	0	19	0	0	0	0
120.00	139393	8543	19114	58583	139393	19114	8543	58583	5	21	0	3	5	1	21	0	0	24	0	0	0	0
124.00	134947	13660	21356	55424	134947	21356	13660	55424	4	26	1	0	7	2	16	0	1	24	0	0	0	0
128.00	130226	21328	25011	50397	130226	25011	21328	50397	3	22	0	1	8	0	10	0	0	22	0	0	0	0
132.00	123221	29643	27436	47826	123221	27436	29643	47826	9	25	3	2	5	1	24	0	3	26	0	0	0	0
136.00	116656	37991	30759	43647	116656	30759	37991	43647	11	5	2	3	9	6	6	0	3	6	0	0	0	0
140.00	106996	49448	33751	39692	106996	33751	49448	39692	7	12	2	3	2	7	9	0	3	12	0	0	0	0
144.00	98940	59315	37188	36262	98940	37188	59315	36262	15	7	7	5	4	8	7	0	5	8	0	0	0	0
148.00	88111	68724	40717	32043	88111	40717	68724	32043	12	11	3	6	7	5	10	0	3	10	0	0	0	0
152.00	73162	80845	42511	28783	73162	42511	80845	28783	8	1	7	2	6	5	5	0	7	1	0	0	0	0
156.00	61962	95971	45587	28002	61962	45587	95971	28002	10	1	10	3	11	9	4	0	12	1	0	0	0	0
160.00	51260	108145	49202	26216	51260	49202	108145	26216	4	3	11	4	6	6	0	0	9	3	0	0	0	0
164.00	43270	116128	53119	23401	43270	53119	116128	23401	6	0	13	2	2	6	1	0	12	0	0	0	0	0
168.00	35081	123149	56366	21295	35081	56366	123149	21295	7	0	14	1	6	2	0	0	14	0	0	0	0	0
172.00	26818	130440	58755	20010	26818	58755	130440	20010	5	0	15	2	2	3	0	0	15	0	0	0	0	0
176.00	20245	135756	60529	18939	20245	60529	135756	18939	2	0	16	1	3	3	0	0	14	0	0	0	0	0
180.00	16973	138148	64574	16288	16973	64574	138148	16288	3	2	21	1	2	5	1	0	20	2	0	0	0	0
184.00	15638	139167	66445	15354	15638	66445	139167	15354	8	0	18	3	2	5	0	0	17	0	0	0	0	0
188.00	16778	136738	68193	14334	16778	68193	136738	14334	5	0	19	5	1	7	0	0	21	0	0	0	0	0
192.00	20279	132340	70387	12940	20279	70387	132340	12940	3	1	18	3	3	5	0	0	16	1	0	0	0	0
196.00	26296	125303	71634	11286	26296	71634	125303	11286	6	1	18	1	4	7	1	0	17	1	0	0	0	0
200.00	35040	114073	71422	10524	35040	71422	114073	10524	8	0	20	2	4	2	1	0	18	0	0	0	0	0
204.00	44392	105067	72843	8958	44392	72843	105067	8958	8	1	19	4	9	0	2	0	18	1	0	0	0	0
208.00	55905	93306	73573	7912	55905	73573	93306	7912	16	0	8	0	7	0	1	0	8	0	0	0	0	0
212.00	68778	79778	73902	7038	68778	73902	79778	7038	14	1	10	1	12	0	2	0	10	1	0	0	0	0
216.00	80949	67536	73357	6642	80949	73357	67536	6642	10	0	11	1	14	1	2	0	10	0	0	0	0	0
