
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  57.5434  i
 3.63636  53.9516  i
 7.27273  50.3586  i
 10.9091  46.7644  i
 14.5455  43.1687  i
 18.1818  39.5715  i
 21.8182  35.9724  i
 25.4545  32.3714  i
 29.0909  28.7683  i
 32.7273  25.1631  i
 36.3636  21.5555  i
 40  17.9455  i
 43.6364  14.3329  i
 47.2727  10.7177  i
 50.9091  7.09971  i
 54.5455  3.47895  i
 58.1818 -0.14467  i
 61.8182 -3.77121  i
 65.4545 -7.40071  i
 69.0909 -11.0332  i
 72.7273 -14.6687  i
 76.3636 -18.3072  i
 80 -21.9486  i
 83.6364 -25.5931  i
 87.2727 -29.2405  i
 90.9091 -32.8908  i
 94.5455 -36.5439  i
 98.1818 -40.1999  i
 101.818 -43.8585  i
 105.455 -47.5197  i
 109.091 -51.1834  i
 112.727 -54.8495  i
 116.364 -58.5179  i
 120 -62.1885  i
 123.636 -65.861  i
 127.273 -69.5354  i
 130.909 -73.2116  i
 134.545 -76.8892  i
 138.182 -80.5683  i
 141.818 -84.2486  i
 145.455 -87.9299  i
 149.091 -91.612  i
 152.727 -95.2949  i
 156.364 -98.9782  i
 160 -102.662  i
 163.636 -106.346  i
 167.273 -110.029  i
 170.909 -113.712  i
 174.545 -117.395  i
 178.182 -121.078  i
 181.818 -124.759  i
 185.455 -128.439  i
 189.091 -132.119  i
 192.727 -135.796  i
 196.364 -139.473  i
 200 -143.147  i
 203.636 -146.82  i
 207.273 -150.491  i
 210.909 -154.159  i
 214.545 -157.825  i
 218.182 -161.489  i
 221.818 -165.151  i
 225.455 -168.81  i
 229.091 -172.466  i
 232.727 -176.119  i
 236.364 -179.77  i
 240 -183.417  i
 243.636 -187.062  i
 247.273 -190.704  i
 250.909 -194.343  i
 254.545 -197.978  i
 258.182 -201.611  i
 261.818 -205.241  i
 265.455 -208.868  i
 269.091 -212.492  i
 272.727 -216.113  i
 276.364 -219.731  i
 280 -223.346  i
 283.636 -226.959  i
 287.273 -230.569  i
 290.909 -234.177  i
 294.545 -237.782  i
 298.182 -241.386  i
 301.818 -244.987  i
 305.455 -248.586  i
 309.091 -252.184  i
 312.727 -255.779  i
 316.364 -259.374  i
 320 -262.967  i
 323.636 -266.559  i
 327.273 -270.15  i
 330.909 -273.74  i
 334.545 -277.329  i
 338.182 -280.919  i
 341.818 -284.508  i
 345.455 -288.097  i
 349.091 -291.686  i
 352.727 -295.276  i
 356.364 -298.866  i
 360 -302.457  i

