-0.396078+0.000000j +0.000000+0.495098j +0.598029+0.000000j -0.000000-0.490267j 
+0.000000+0.495098j +0.594117+0.000000j +0.000000+0.490267j +0.401923+0.000000j 
+0.598029+0.000000j +0.000000+0.490267j +0.396078+0.000000j -0.000000+0.495098j 
-0.000000-0.490267j +0.401923+0.000000j -0.000000+0.495098j -0.594117+0.000000j 
