+0.207843+0.000000j +0.000000+0.346405j +0.879322+0.000000j -0.000000-0.252186j 
+0.000000+0.346405j +0.900652+0.000000j +0.000000+0.252186j +0.072326+0.000000j 
+0.879322+0.000000j +0.000000+0.252186j -0.207843+0.000000j -0.000000+0.346405j 
-0.000000-0.252186j +0.072326+0.000000j -0.000000+0.346405j -0.900652+0.000000j 
