"{909., 1181., 759., 1592., 3799., 4098.}","{900., 1088., 696., 1557., 3403., 3503.}","{911., 1100., 694., 1634., 3386., 3300.}"
"{1494., 908., 3003., 4500., 1717., 2000.}","{1400., 816., 3000., 3997., 1499., 2000.}","{1308., 795., 3000., 3499., 1300., 2050.}"
"{696., 2200., 3414., 1879., 1400., 0.}","{511., 2000., 2802., 1555., 1083., 0.}","{501., 2000., 2501., 1518., 904., 0.}"
"{1400., 3797., 1801., 810., 500., 1900.}","{1471., 3378., 1795., 695., 600., 1688.}","{1577., 3009., 1845., 528., 708., 1500.}"
"{2857., 1007., 1085., 331., 930., 270.}","{2748., 899., 915., 412., 724., 393.}","{2753., 803., 870., 556., 600., 500.}"
"{2822., 1031., 0., 1291., 282., 900.}","{2787., 1100., 0., 1204., 310., 807.}","{2686., 1299., 0., 1105., 500., 700.}"
"{1428., 1522., 1035., 0., 1299., 295.}","{1398., 1581., 1129., 0., 1254., 370.}","{1300., 1628., 1373., 0., 1204., 524.}"
"{500., 1110., 2102., 904., 0., 1703.}","{394., 992., 1910., 997., 0., 1512.}","{300., 882., 1895., 1100., 0., 1404.}"
"{0., 356., 1403., 2100., 800., 1.}","{0., 299., 1298., 2017., 904., 0.}","{0., 209., 1191., 1957., 1012., 0.}"
"{0., 0., 506., 1600., 2104., 800.}","{0., 0., 440., 1463., 2096., 905.}","{0., 0., 400., 1349., 2037., 1001.}"
"{0., 0., 9., 600., 1690., 2409.}","{0., 0., 0., 550., 1600., 2488.}","{0., 0., 0., 497., 1505., 2520.}"
"{0., 0., 0., 100., 806., 2491.}","{0., 0., 0., 44., 699., 2294.}","{0., 0., 0., 3., 607., 2198.}"
"{0., 0., 0., 0., 66., 801.}","{0., 0., 0., 0., 13., 753.}","{0., 0., 0., 0., 1., 682.}"
"{0., 0., 0., 0., 0., 38.}","{0., 0., 0., 0., 0., 6.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
