909 1494 696 1400 2857 2822 1428 500 0 0 0 0 0 0 0 0 0 0 0 0 0
1181 908 2200 3797 1007 1031 1522 1110 356 0 0 0 0 0 0 0 0 0 0 0 0
759 3003 3414 1801 1085 0 1035 2102 1403 506 9 0 0 0 0 0 0 0 0 0 0
1592 4500 1879 810 331 1291 0 904 2100 1600 600 100 0 0 0 0 0 0 0 0 0
3799 1717 1400 500 930 282 1299 0 800 2104 1690 806 66 0 0 0 0 0 0 0 0
7782 3187 0 3437 475 1950 512 3302 1 1553 4738 4596 1500 38 0 0 0 0 0 0 0
1701 1702 1000 0 1112 275 1003 100 1635 223 519 2400 1798 498 2 0 0 0 0 0 0
512 1200 1979 995 0 1601 100 1306 0 1783 324 511 2288 1502 624 2 0 0 0 0 0
1 400 1337 2200 692 1 1641 0 1800 0 1692 534 484 1899 1897 600 14 0 0 0 0
0 1 510 1750 1900 805 210 1817 0 1900 0 1764 424 333 2224 1698 602 10 0 0 0
0 0 82 1504 3271 4925 1274 732 3667 0 3022 0 2993 478 1215 4205 3191 1102 7 0 0
0 0 0 94 585 1702 2210 492 404 1400 0 1487 0 1282 114 572 1624 1213 423 0 0
0 0 0 0 2 609 1859 2100 498 395 1295 0 1218 0 1399 0 693 1699 1209 300 0
0 0 0 0 0 7 648 1697 2300 422 203 1605 0 1003 101 1204 0 800 1808 964 400
0 0 0 0 0 0 1 528 1808 2065 487 200 1200 68 900 192 929 0 913 1406 1388
0 0 0 0 0 0 0 83 1384 3589 4177 1356 64 2616 443 1427 589 2186 0 2079 5701
0 0 0 0 0 0 0 0 76 534 1352 1557 608 4 894 205 536 272 712 665 1887
0 0 0 0 0 0 0 0 0 99 619 1396 1748 793 0 1084 360 588 1246 2076 793
0 0 0 0 0 0 0 0 0 0 98 502 1185 1595 854 0 954 1264 2069 996 518
0 0 0 0 0 0 0 0 0 0 0 66 408 1087 1601 1208 1144 2755 1311 582 1010
0 0 0 0 0 0 0 0 0 0 0 0 103 604 1812 3651 3236 1093 714 1009 921

#18236 18112 14497 18288 14247 17301 14742 16773 18232 18173 20825 18880 16087 13800 14080 16048 13872 12982 10412 10077 12618 
