"{3684., 1701., 512., 1., 0., 0.}","{3402., 1504., 402., 0., 0., 0.}","{3203., 1400., 387., 0., 0., 0.}"
"{1187., 1702., 1200., 400., 1., 0.}","{1216., 1608., 1036., 309., 0., 0.}","{1300., 1600., 997., 296., 0., 0.}"
"{0., 1000., 1979., 1337., 510., 79.}","{0., 1013., 1900., 1298., 491., 22.}","{0., 1103., 1704., 1044., 332., 0.}"
"{1537., 0., 995., 2200., 1750., 804.}","{1399., 0., 1066., 2100., 1584., 699.}","{1304., 0., 1110., 2100., 1500., 606.}"
"{205., 1112., 0., 692., 1900., 1800.}","{299., 1091., 0., 703., 1884., 1693.}","{399., 995., 0., 818., 1810., 1514.}"
"{1050., 275., 1601., 1., 805., 2911.}","{904., 334., 1506., 0., 905., 2900.}","{801., 401., 1431., 0., 1000., 2854.}"
"{217., 1003., 100., 1641., 210., 698.}","{301., 963., 176., 1623., 182., 800.}","{430., 817., 299., 1600., 74., 997.}"
"{1599., 100., 1306., 0., 1817., 499.}","{1542., 193., 1272., 3., 1821., 400.}","{1400., 314., 1031., 138., 1800., 200.}"
"{0., 1635., 0., 1800., 0., 2164.}","{0., 1608., 44., 1708., 0., 2208.}","{0., 1593., 152., 1600., 85., 2224.}"
"{753., 223., 1783., 0., 1900., 0.}","{900., 133., 1799., 0., 1890., 0.}","{1018., 57., 1778., 44., 1798., 0.}"
"{2329., 519., 324., 1692., 0., 1811.}","{2391., 681., 207., 1704., 0., 1808.}","{2387., 786., 179., 1731., 0., 1798.}"
"{2105., 2400., 511., 534., 1764., 0.}","{2000., 2452., 680., 400., 1801., 0.}","{1800., 2442., 803., 226., 1805., 0.}"
"{699., 1798., 2288., 484., 424., 1698.}","{608., 1737., 2393., 601., 311., 1800.}","{514., 1605., 2394., 798., 200., 1800.}"
"{0., 498., 1502., 1899., 333., 278.}","{0., 417., 1490., 1907., 408., 200.}","{0., 393., 1336., 1927., 522., 99.}"
"{0., 2., 624., 1897., 2224., 626.}","{0., 0., 600., 1800., 2278., 722.}","{0., 0., 437., 1597., 2200., 903.}"
"{0., 0., 2., 600., 1698., 2293.}","{0., 0., 0., 447., 1454., 2242.}","{0., 0., 0., 300., 1100., 2200.}"
"{0., 0., 0., 14., 602., 1792.}","{0., 0., 0., 1., 554., 1670.}","{0., 0., 0., 0., 408., 1481.}"
"{0., 0., 0., 0., 10., 602.}","{0., 0., 0., 0., 0., 541.}","{0., 0., 0., 0., 0., 445.}"
"{0., 0., 0., 0., 0., 4.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
