"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 1., 0.}","{0., 0., 0., 0., 0., 0.}"
"{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}","{0., 0., 0., 0., 0., 0.}"
"{77., 0., 0., 0., 0., 0.}","{37., 0., 0., 0., 0., 0.}","{25., 0., 0., 0., 0., 0.}"
"{630., 76., 0., 0., 0., 0.}","{506., 32., 0., 0., 0., 0.}","{404., 6., 1., 0., 0., 0.}"
"{1692., 534., 99., 0., 0., 0.}","{1469., 419., 63., 0., 0., 1.}","{1301., 349., 35., 0., 0., 0.}"
"{2079., 1352., 619., 98., 0., 0.}","{1942., 1189., 526., 73., 0., 0.}","{1692., 939., 377., 24., 0., 0.}"
"{632., 1557., 1396., 502., 66., 0.}","{689., 1508., 1276., 441., 55., 0.}","{789., 1414., 1114., 359., 14., 0.}"
"{64., 608., 1748., 1185., 408., 103.}","{14., 685., 1693., 1086., 369., 75.}","{2., 698., 1608., 1005., 313., 50.}"
"{1329., 4., 793., 1595., 1087., 604.}","{1187., 0., 786., 1468., 929., 482.}","{1084., 0., 795., 1373., 835., 403.}"
"{223., 894., 0., 854., 1601., 1812.}","{268., 790., 0., 842., 1496., 1579.}","{346., 693., 0., 903., 1434., 1360.}"
"{709., 205., 1084., 0., 1208., 3651.}","{558., 253., 884., 1., 1192., 3078.}","{446., 280., 765., 0., 1172., 2738.}"
"{285., 536., 360., 954., 1144., 3236.}","{356., 371., 414., 825., 963., 2941.}","{419., 271., 481., 734., 880., 2826.}"
"{985., 272., 588., 1264., 2755., 1093.}","{826., 304., 467., 1224., 2316., 1100.}","{694., 379., 361., 1265., 2043., 1177.}"
"{0., 712., 1246., 2069., 1311., 714.}","{0., 657., 1213., 1879., 1275., 687.}","{1., 512., 1182., 1535., 1250., 599.}"
"{867., 665., 2076., 996., 582., 1009.}","{936., 563., 1765., 1008., 529., 1024.}","{1060., 569., 1720., 1157., 570., 1125.}"
"{2497., 1887., 793., 518., 1010., 921.}","{2306., 1785., 798., 501., 988., 946.}","{2007., 1619., 795., 440., 920., 915.}"
