0.5 0.22185 2.047e-08
0.42045 0.15783 2.4289e-08
0.35355 0.11208 2.5774e-08
0.2973 0.079496 4.7102e-08
0.25 0.056333 6.4242e-08
0.21022 0.039894 5.4938e-08
0.17678 0.02824 8.8748e-08
0.14865 0.019984 9.8271e-08
0.125 0.014138 1.2937e-07
0.10511 0.010001 9.1398e-08
0.088388 0.0070737 1.7539e-07
0.074325 0.0050029 2.0107e-07
0.0625 0.003538 2.3175e-07
0.052556 0.002502 3.3477e-07
0.044194 0.0017693 3.5066e-07
0.037163 0.0012512 3.4529e-07
0.03125 0.00088482 4.7883e-07
0.026278 0.00062591 4.7814e-07
0.022097 0.00044258 6.1667e-07
0.018581 0.00031313 7.0773e-07
0.015625 0.00022116 6.9806e-07
0.013139 0.00015734 1.2226e-06
0.011049 0.00011157 1.4e-06
0.0092907 7.8984e-05 1.4205e-06
0.0078125 5.7153e-05 1.4415e-06
0.0065695 4.2124e-05 1.4232e-06
0.0055243 3.1942e-05 1.3872e-06
0.0046453 2.5865e-05 2.1029e-06
0.0039063 2.579e-05 3.2129e-06
0.0032848 2.5751e-05 3.2316e-06
0.0027621 2.9121e-05 5.2717e-06
0.0023227 3.2746e-05 5.6866e-06
0.0019531 3.6797e-05 8.1448e-06
0.0016424 4.4507e-05 5.9761e-06
0.0013811 4.9864e-05 6.5917e-06
0.0011613 6.4677e-05 9.7594e-06
0.00097656 7.2472e-05 1.75e-05
0.00082119 9.9464e-05 1.2897e-05
0.00069053 0.0001074 1.8201e-05
0.00058067 0.00012597 2.0395e-05
