0.5 0.22185 0
0.25 0.056333 0
0.125 0.014138 0
0.0625 0.003538 0
0.03125 0.00088471 0
0.015625 0.00022119 0
0.0078125 5.5299e-05 0
0.0039062 1.3825e-05 0
0.0019531 3.4562e-06 0
0.00097656 8.6405e-07 0
0.00048828 2.1601e-07 0
0.00024414 5.4004e-08 0
0.00012207 1.3501e-08 0
6.1035e-05 3.378e-09 0
3.0518e-05 8.4381e-10 0
1.5259e-05 2.3308e-10 0
7.6294e-06 8.9278e-11 0
3.8147e-06 1.1169e-10 0
1.9073e-06 2.5096e-10 0
9.5367e-07 4.3561e-10 0
4.7684e-07 8.4233e-10 0
2.3842e-07 2.2076e-09 0
1.1921e-07 3.7444e-09 0
5.9605e-08 5.4013e-09 0
2.9802e-08 1.5766e-08 0
1.4901e-08 2.5523e-08 0
7.4506e-09 6.3993e-08 0
3.7253e-09 1.1665e-07 0
1.8626e-09 2.7091e-07 0
9.3132e-10 5.23e-07 0
4.6566e-10 1.0529e-06 0
2.3283e-10 1.808e-06 0
1.1642e-10 4.4306e-06 0
5.8208e-11 6.2961e-06 0
2.9104e-11 1.6025e-05 0
1.4552e-11 2.7118e-05 0
7.276e-12 6.4157e-05 0
3.638e-12 0.00013776 0
1.819e-12 0.00023731 0
9.0949e-13 0.00054445 0
