# Quantum Classical Visibility
AB 5353 5677 -0.2407
AC 2297 5408 0.439
AD 316 1872 0.7733
BC 1149 1.136e+04 0.8783
BD 1505 4266 0.5326
CD 5378 3816 -0.8464
