+0.6600+0.0000j +0.5217+0.0000j +0.4981+0.0000j +0.2100-0.0000j 
+0.3032+0.0000j -0.4350+0.0683j -0.2331-0.2310j +0.6807+0.3784j 
+0.5353+0.0000j -0.6410+0.0857j +0.1454+0.0324j -0.4349-0.2896j 
+0.4312+0.0000j +0.3031-0.1544j -0.7791+0.1222j -0.2601+0.0935j 
