-0.332321+0.000000j +0.000000+0.474119j +0.664780+0.000000j +0.000000-0.472060j 
+0.000000+0.474119j +0.663328+0.000000j +0.000000+0.472060j +0.335210+0.000000j 
+0.664780+0.000000j +0.000000+0.472060j +0.332321+0.000000j -0.000000+0.474119j 
+0.000000-0.472060j +0.335210+0.000000j -0.000000+0.474119j -0.663328+0.000000j 
