-0.963977+0.000000j +0.000000+0.233956j +0.019257+0.000000j +0.000000-0.125068j 
+0.000000+0.233956j -0.519460+0.000000j +0.000000+0.125068j +0.812271+0.000000j 
+0.019257+0.000000j +0.000000+0.125068j +0.963977+0.000000j -0.000000+0.233956j 
+0.000000-0.125068j +0.812271+0.000000j -0.000000+0.233956j +0.519460+0.000000j 
