-0.081647+0.000000j +0.000000+0.422507j +0.820049+0.000000j -0.000000-0.377281j 
+0.000000+0.422507j +0.805617+0.000000j +0.000000+0.377281j +0.173576+0.000000j 
+0.820049+0.000000j +0.000000+0.377281j +0.081647+0.000000j -0.000000+0.422507j 
-0.000000-0.377281j +0.173576+0.000000j -0.000000+0.422507j -0.805617+0.000000j 
