
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  57.6421  i
 3.63636  54.0615  i
 7.27273  50.4802  i
 10.9091  46.898  i
 14.5455  43.3146  i
 18.1818  39.7299  i
 21.8182  36.1436  i
 25.4545  32.5556  i
 29.0909  28.9655  i
 32.7273  25.3734  i
 36.3636  21.7789  i
 40  18.1819  i
 43.6364  14.5822  i
 47.2727  10.9798  i
 50.9091  7.37437  i
 54.5455  3.76591  i
 58.1818  0.154271  i
 61.8182 -3.46064  i
 65.4545 -7.07891  i
 69.0909 -10.7006  i
 72.7273 -14.3258  i
 76.3636 -17.9546  i
 80 -21.5869  i
 83.6364 -25.2228  i
 87.2727 -28.8623  i
 90.9091 -32.5053  i
 94.5455 -36.1519  i
 98.1818 -39.8021  i
 101.818 -43.4556  i
 105.455 -47.1126  i
 109.091 -50.7728  i
 112.727 -54.4363  i
 116.364 -58.1028  i
 120 -61.7724  i
 123.636 -65.4447  i
 127.273 -69.1198  i
 130.909 -72.7974  i
 134.545 -76.4773  i
 138.182 -80.1595  i
 141.818 -83.8437  i
 145.455 -87.5297  i
 149.091 -91.2173  i
 152.727 -94.9063  i
 156.364 -98.5966  i
 160 -102.288  i
 163.636 -105.98  i
 167.273 -109.672  i
 170.909 -113.365  i
 174.545 -117.058  i
 178.182 -120.751  i
 181.818 -124.443  i
 185.455 -128.135  i
 189.091 -131.826  i
 192.727 -135.516  i
 196.364 -139.205  i
 200 -142.892  i
 203.636 -146.578  i
 207.273 -150.261  i
 210.909 -153.943  i
 214.545 -157.622  i
 218.182 -161.299  i
 221.818 -164.974  i
 225.455 -168.645  i
 229.091 -172.314  i
 232.727 -175.98  i
 236.364 -179.643  i
 240 -183.302  i
 243.636 -186.958  i
 247.273 -190.611  i
 250.909 -194.26  i
 254.545 -197.906  i
 258.182 -201.548  i
 261.818 -205.187  i
 265.455 -208.822  i
 269.091 -212.453  i
 272.727 -216.081  i
 276.364 -219.706  i
 280 -223.327  i
 283.636 -226.944  i
 287.273 -230.558  i
 290.909 -234.169  i
 294.545 -237.777  i
 298.182 -241.381  i
 301.818 -244.983  i
 305.455 -248.582  i
 309.091 -252.179  i
 312.727 -255.772  i
 316.364 -259.364  i
 320 -262.954  i
 323.636 -266.541  i
 327.273 -270.127  i
 330.909 -273.712  i
 334.545 -277.295  i
 338.182 -280.877  i
 341.818 -284.458  i
 345.455 -288.038  i
 349.091 -291.618  i
 352.727 -295.198  i
 356.364 -298.778  i
 360 -302.358  i

