A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
220.00	65152	70814	107102	5655	65152	107102	70814	5655	13	0	13	1	17	0	0	0	14	0	0	0	0	0
224.00	79821	55257	104956	6199	79821	104956	55257	6199	13	0	19	1	14	1	0	0	19	0	0	0	0	0
228.00	89832	44792	102022	8838	89832	102022	44792	8838	8	1	6	2	12	0	0	0	3	1	0	0	0	0
232.00	101391	31284	100023	10286	101391	100023	31284	10286	6	1	13	3	24	0	4	0	11	1	0	0	0	0
236.00	107954	22850	96017	13639	107954	96017	22850	13639	2	3	5	5	27	0	4	0	6	5	0	0	0	0
240.00	116798	14012	93057	16218	116798	93057	14012	16218	1	2	4	4	22	0	3	0	5	0	0	0	0	0
244.00	120173	9877	88045	21784	120173	88045	9877	21784	3	8	1	4	21	0	4	0	1	7	0	0	0	0
248.00	123600	5155	85002	25395	123600	85002	5155	25395	0	3	1	7	26	0	8	0	1	3	0	0	0	0
252.00	124947	3080	79951	30741	124947	79951	3080	30741	2	9	1	7	26	0	9	0	1	7	0	0	0	0
256.00	124448	2600	75702	35042	124448	75702	2600	35042	1	10	1	2	19	0	6	0	1	11	0	0	0	0
260.00	122407	3862	70785	40476	122407	70785	3862	40476	1	10	1	6	17	0	10	0	0	7	0	0	0	0
264.00	118115	7296	65329	45991	118115	65329	7296	45991	1	11	1	6	14	1	13	0	1	11	0	0	0	0
268.00	112856	12632	61118	51108	112856	61118	12632	51108	1	13	3	5	9	1	13	0	3	12	0	0	0	0
272.00	106768	19607	56210	55130	106768	56210	19607	55130	3	6	0	3	9	0	5	0	0	6	0	0	0	0
276.00	100908	27082	50377	60920	100908	50377	27082	60920	6	17	1	8	9	3	12	0	1	17	0	0	0	0
280.00	94115	35356	44516	66981	94115	44516	35356	66981	5	12	5	2	8	3	11	0	6	11	0	0	0	0
284.00	83271	48775	41535	68891	83271	41535	48775	68891	11	8	2	4	6	5	10	0	2	8	0	0	0	0
288.00	77222	56670	35182	74851	77222	35182	56670	74851	12	6	3	4	7	11	7	0	3	7	0	0	0	0
292.00	66831	68397	30861	77473	66831	30861	68397	77473	11	9	4	4	3	7	4	0	4	7	0	0	0	0
296.00	57868	81075	26516	80055	57868	26516	81075	80055	14	9	2	4	2	12	17	0	3	8	0	0	0	0
300.00	51895	88973	21791	84415	51895	21791	88973	84415	11	11	2	0	1	15	14	0	4	10	0	0	0	0
304.00	43008	100031	18853	86670	43008	18853	100031	86670	19	7	3	4	1	21	13	0	2	7	0	0	0	0
308.00	35649	108818	16508	87260	35649	16508	108818	87260	7	1	4	5	0	20	5	0	4	1	0	0	0	0
312.00	29360	110640	13326	85866	29360	13326	110640	85866	6	1	4	2	2	20	4	0	5	1	0	0	0	0
316.00	26090	120425	13479	87052	26090	13479	120425	87052	7	7	4	3	1	19	7	0	4	7	0	0	0	0
