+0.7651+0.0000j +0.4483+0.0000j +0.4603+0.0000j +0.0419+0.0000j 
+0.4395+0.0000j -0.4644+0.0994j -0.2338-0.1439j -0.4886+0.5170j 
+0.4124-0.0000j -0.5755+0.0208j -0.1694+0.0234j +0.4882-0.4803j 
+0.2266+0.0000j +0.4343-0.2307j -0.7923+0.2364j -0.0822-0.1285j 
