+0.3590+0.0000j +0.6061+0.0000j +0.1819+0.0000j +0.6861+0.0000j 
+0.1656+0.0000j +0.6151+0.1126j -0.5800+0.0672j -0.4763-0.1173j 
+0.3448+0.0000j +0.1631+0.1230j +0.7452-0.0049j -0.5220-0.1074j 
+0.8514+0.0000j -0.4413-0.0717j -0.2657-0.0111j +0.0147+0.0663j 
