+0.220467+0.000000j +0.000000+0.355714j +0.871939+0.000000j +0.000000-0.254133j 
+0.000000+0.355714j +0.896324+0.000000j +0.000000+0.254133j +0.074069+0.000000j 
+0.871939+0.000000j +0.000000+0.254133j -0.220467+0.000000j -0.000000+0.355714j 
+0.000000-0.254133j +0.074069+0.000000j -0.000000+0.355714j -0.896324+0.000000j 
