+0.2034+0.0000j +0.4996+0.0000j +0.8099+0.0000j +0.2302+0.0000j 
+0.6193+0.0000j +0.2372-0.4899j -0.3603+0.3485j +0.2058-0.1631j 
+0.6740-0.0000j -0.2658+0.5520j +0.0341-0.2585j -0.1386-0.2884j 
+0.3478+0.0000j -0.1994-0.1975j +0.1018-0.1197j -0.2326+0.8494j 
