A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	2687	52504	73106	60346	2687	73106	52504	60346	0	1	9	7	1	7	0	0	8	1	0	0	0	0
4.00	3040	51811	77086	56612	3040	77086	51811	56612	0	0	12	11	0	7	1	0	12	0	0	0	0	0
8.00	3751	50614	81785	53245	3751	81785	50614	53245	2	1	10	9	1	9	0	0	8	1	0	0	0	0
12.00	4489	50291	83742	49937	4489	83742	50291	49937	1	1	7	8	0	6	1	0	5	1	0	0	0	0
16.00	5903	48795	85299	47393	5903	85299	48795	47393	0	0	8	13	0	1	0	0	9	0	0	0	0	0
20.00	7153	48135	86405	45584	7153	86405	48135	45584	1	0	10	5	0	4	0	0	11	0	0	0	0	0
24.00	8691	47476	86486	46229	8691	86486	47476	46229	1	1	9	9	4	3	1	0	7	1	0	0	0	0
28.00	9428	47250	83717	47423	9428	83717	47250	47423	3	2	11	9	0	5	1	0	9	2	0	0	0	0
32.00	10503	46646	80706	49984	10503	80706	46646	49984	2	0	11	7	2	4	1	0	10	0	0	0	0	0
36.00	12394	44972	76922	52743	12394	76922	44972	52743	0	0	8	7	2	1	0	0	10	0	0	0	0	0
40.00	15010	43586	72626	56776	15010	72626	43586	56776	2	1	10	11	1	2	3	0	13	1	0	0	0	0
44.00	16345	42234	67500	61822	16345	67500	42234	61822	0	5	5	8	1	4	5	0	6	5	0	0	0	0
48.00	18677	39880	62429	66943	18677	62429	39880	66943	3	1	8	12	4	8	4	0	9	1	0	0	0	0
52.00	21475	37000	57238	71589	21475	57238	37000	71589	3	6	4	14	3	6	2	0	4	5	0	0	0	0
56.00	23125	35137	51493	78291	23125	51493	35137	78291	0	0	2	8	2	2	1	0	3	0	0	0	0	0
60.00	25143	32179	45538	83808	25143	45538	32179	83808	1	2	3	6	4	2	4	0	3	2	0	0	0	0
64.00	28135	28666	41450	88972	28135	41450	28666	88972	0	3	1	6	0	4	4	0	1	3	0	0	0	0
68.00	30058	25503	37115	94075	30058	37115	25503	94075	4	7	3	5	4	11	7	0	3	6	0	0	0	0
72.00	32187	22738	33112	99368	32187	33112	22738	99368	2	5	0	14	1	5	3	0	0	6	0	0	0	0
76.00	35037	19852	30835	103127	35037	30835	19852	103127	2	7	0	7	2	5	7	0	0	5	0	0	0	0
80.00	37322	16398	29269	105649	37322	29269	16398	105649	0	5	1	7	2	3	4	0	1	5	0	0	0	0
84.00	38765	14376	27747	108677	38765	27747	14376	108677	1	9	1	6	1	6	11	0	1	10	0	0	0	0
88.00	40572	11688	27350	108976	40572	27350	11688	108976	2	7	1	3	2	3	11	0	1	5	0	0	0	0
92.00	42805	8940	27976	109998	42805	27976	8940	109998	0	12	0	5	3	0	6	0	0	12	0	0	0	0
96.00	45579	6953	28608	109063	45579	28608	6953	109063	2	13	0	7	1	1	14	0	0	11	0	0	0	0
100.00	45823	5320	30362	106736	45823	30362	5320	106736	0	16	1	6	1	1	18	0	1	14	0	0	0	0
104.00	47139	4173	32320	105370	47139	32320	4173	105370	0	8	1	16	3	0	9	0	1	8	0	0	0	0
108.00	48048	3697	34312	101085	48048	34312	3697	101085	0	13	0	3	4	0	6	0	0	11	0	0	0	0
112.00	48821	3739	36912	98904	48821	36912	3739	98904	0	13	0	7	5	0	9	0	0	13	0	0	0	0
116.00	48510	4393	39589	93913	48510	39589	4393	93913	0	8	0	8	2	2	9	0	0	9	0	0	0	0
120.00	48174	5768	42650	90482	48174	42650	5768	90482	1	8	1	5	3	2	12	0	1	9	0	0	0	0
124.00	46910	7757	45263	85703	46910	45263	7757	85703	1	9	1	6	4	3	7	0	1	10	0	0	0	0
128.00	45112	10188	48265	81907	45112	48265	10188	81907	0	11	1	4	3	1	3	0	0	11	0	0	0	0
132.00	42312	13251	51311	78212	42312	51311	13251	78212	2	5	2	5	4	3	2	0	2	5	0	0	0	0
136.00	39893	16619	53560	74732	39893	53560	16619	74732	1	4	2	9	5	1	9	0	2	4	0	0	0	0
140.00	38524	18508	58781	70147	38524	58781	18508	70147	2	5	3	13	4	2	9	0	3	5	0	0	0	0
144.00	33711	23527	59903	67312	33711	59903	23527	67312	2	5	0	8	6	2	8	0	0	4	0	0	0	0
148.00	29578	27614	61628	64704	29578	61628	27614	64704	1	3	1	12	3	2	2	0	2	3	0	0	0	0
152.00	24856	31338	62983	61160	24856	62983	31338	61160	0	2	3	9	2	2	4	0	2	2	0	0	0	0
156.00	20783	35466	66267	61941	20783	66267	35466	61941	4	2	3	10	4	5	0	0	3	2	0	0	0	0
160.00	16935	39531	70339	60273	16935	70339	39531	60273	0	1	8	10	4	7	1	0	8	0	0	0	0	0
